label,temp_mean,temp_std,temp_change,temp_max,temp_min,temp_median,temp_range,eda_mean,eda_std,eda_number_of_peaks,eda_mean_peak_amplitude,eda_max_peak_amplitude,eda_min_peak_amplitude,eda_median,eda_range,bvp_mean,bvp_std,bvp_number_of_peaks,bvp_mean_peak_interval,bvp_median,bvp_range,accX_mean,accX_std,accX_peak,accX_energy,accX_median,accX_range,accY_mean,accY_std,accY_peak,accY_energy,accY_median,accY_range,accZ_mean,accZ_std,accZ_peak,accZ_energy,accZ_median,accZ_range,hr_mean,hr_std,hr_max,hr_min,hr_gradient,hr_variation_std,hr_median,hr_range
Shame,34.39238308180518,0.05719720086532633,-0.08607612684047439,34.452744974145205,34.250270488706185,34.427525811700534,0.20247448543901925,2.441053709824147,0.6919587616371111,33,2.8002686010979585,3.6545354448825993,1.2161991289219511,2.3664592934870745,3.501944136524398,4.86261382918552,9.931634358660714,210,67.14354066985646,3.05,60.2,-39.25562453984518,7.811371149791093,-14.314496459364625,4760.146341097888,-41.027513998155996,44.49886718582898,21.82109591215369,28.42810226234612,57.43864024441831,4262.0866756845835,37.89748332977054,108.97776077572678,29.10430311282782,6.366110493161376,44.668069144265985,3543.1683789176864,29.032291513462233,53.2095934721984,74.51324151468846,2.251575636918851,79.78999714476127,70.95324924648953,0.0004087815137226776,0.0017045533351998342,73.98185940309104,8.836747898271739
Neutral,34.22333120838265,0.0738714897806418,0.06576902903677251,34.35767149407701,34.10534162402419,34.23202729664317,0.2523298700528187,4.041178211732286,1.2733475222996247,30,4.335956577152113,5.89230878758594,1.4819718278150462,4.355395235662289,4.469125320426646,5.876488407051429,4.726566001294441,350,62.73638968481375,5.73,28.48,-36.44637607100539,5.945295147278588,-5.34629637931319,5471.469071426559,-37.70649629810856,49.94089250831177,36.25006163608967,18.627035683401157,67.88963509253075,6038.598084182649,41.563517752027984,117.52085205967427,30.460495285812986,4.476296320915574,40.21376920370412,4561.665016934919,30.0388808072044,48.63569509514675,84.6786632962004,18.78324215912954,126.510128662115,69.63665836926978,-0.0003816403514765765,0.00811191828089205,74.18626589767098,56.87347029284521
Frustration,34.51655344119596,0.09517891214457512,0.17994260926999317,34.6065546172449,34.30493689634944,34.569593801990905,0.30161772089546446,1.1462856384306912,0.44315104853025833,23,1.0659351365433385,2.552078018752155,0.7907570743143078,0.9439806965026899,1.86516268399691,8.498484432234433,9.534528873854722,245,71.37704918032787,9.29,41.0,-41.65688058125529,5.660311281550194,-2.3482643131259726,5556.87628414812,-43.15611001728723,46.085522491870044,36.807714694164055,8.33502520755222,64.37319339434546,4988.489651651325,38.68266663561831,85.41053478886899,28.01342588125464,7.749228635788158,50.08462680112886,3841.9253732830553,27.43048191186771,63.58991682923108,82.65461367237279,9.148666743914928,98.8667222936165,71.3275902899697,0.00018100258982531528,0.004060811366674001,77.90073215481817,27.5391320036468
Pride,34.50955631213043,0.03422810082788967,0.08493204020336975,34.57712785532155,34.46355557569506,34.494684815712034,0.11357227962648864,1.4417189066756064,0.41166271642184216,18,1.5245880922201487,2.6433890253595687,0.9523682203416467,1.3696850261232347,1.6963914617852787,7.773874460357705,5.4068809652096315,231,63.06086956521739,6.4,25.82,-40.65704097992406,6.595799224102143,-1.4538107695730185,4975.642462377966,-43.10614956998129,46.19318414197168,38.261937966774234,8.177353639210086,60.30490718376597,4726.480849832943,40.639150208499615,69.32021950941868,26.53896982302051,10.360856084375957,55.3121662062798,3441.6008655844066,23.092268828541716,68.53012462334668,74.90045930269291,1.5419241467625557,77.69025162667995,72.37408261849781,-9.930053323774433e-05,0.0014505592914264983,75.0455303281392,5.316169008182143
Joy,34.23413035250646,0.15970053489731242,-0.020071888291873563,34.49842633281001,34.0057395048673,34.24342032454484,0.49268682794271257,2.541974886769972,0.6174592748334913,18,2.765117495991521,4.073129046439593,1.841879118406422,2.347537384730517,2.4571457057778634,-2.5839470979236614,6.756016846458265,218,66.82949308755761,-2.34,33.27,-44.23173011647193,11.225058995481904,0.6861479716022639,5512.636590917061,-48.158956826169266,51.56401686897463,39.89582933126779,11.407481389693508,60.54753167214862,5012.61824385277,43.78593270768652,78.34675221534371,3.5637642512005927,18.6481431225505,49.08149656228672,2293.490838162022,-5.187679678499343,63.388288315401155,70.25526901389385,4.411389572078867,76.48305432604133,62.222763119652434,5.841381724320763e-05,0.0028188865061512538,70.95985115103288,14.260291206388892
Pride,35.42016056040498,0.031791132808007966,0.06271246407398934,35.46112577190184,35.34245902093886,35.4235300854546,0.11866675096297996,9.10492640167356,0.13681123693287836,26,9.105367439628298,9.361259297517831,8.91150991353834,9.127448141050854,0.6386127772802155,1.6764855769230769,2.622266549296849,151,55.14,0.84,15.379999999999999,29.43925917248793,13.513790317102027,61.1043334869904,2954.676577541299,24.19680550835363,56.6020216555708,-21.74067817975612,10.842304646065124,1.0497089920200884,2215.9804404623455,-26.49756333947255,53.08700833439095,35.27228080497318,29.15913592711307,60.52503604623023,4174.364201886332,48.773177533237586,91.71365786095956,112.49482173362568,2.540891578519335,116.90325963849608,109.75710560861577,-0.0007864849086195942,0.0016433580207368215,111.44978192281918,7.146154029880307
Neutral,35.42637923381383,0.024206876791891537,0.03628003207138164,35.461510277111536,35.36578940026858,35.43707111334893,0.09572087684295383,9.754153245107421,0.4450858261471415,14,9.98307484792449,10.22529588172945,9.397561363695333,9.884404358662719,2.202896502543245,0.6352530215191118,2.0375279846532224,200,50.8643216080402,0.53,17.509999999999998,56.27302317252554,11.747724195718762,65.41248313485936,5799.271230938956,59.07321392670517,88.10661737933184,-15.208952091881097,8.45255756257465,37.46815824655815,1755.3255220936078,-16.199341787976508,101.56630920370564,-2.561543657111287,10.660718426134247,44.161622215131096,1106.0749665391565,-7.080501911138092,75.04099600479616,113.13575260730528,2.7852287577803128,117.3140188244694,109.5432421939636,0.0007038440293553201,0.0015791017248989957,112.41929017135291,7.770776630505807
Shame,35.47263002241451,0.03190802032562636,0.047698727090512705,35.528675862558146,35.416165768247296,35.473981344268765,0.11251009431084924,10.260652007501323,0.338142348757338,19,10.29858794578744,10.823459530125564,9.889716371962445,10.34772865502906,1.2780576455210504,1.3975507478632476,4.530063475372896,145,51.638888888888886,0.07,19.52,19.93481575116625,11.700953221890545,57.64982371761874,2000.2267820873763,17.410109877480014,59.30453631054127,-20.875211622659616,13.006416910367733,5.586856677961572,2128.332859877603,-24.85121847980718,69.41716151542863,44.53170884897834,24.8339981292117,64.81738795496835,4412.177077590596,53.77536500093531,100.55959707676391,115.19067985219397,1.901739078970942,117.83081271247723,112.87653455272046,-0.0001708109919034026,0.0021110324086343773,115.32330213882878,4.954278159756768
Frustration,35.594352974910244,0.014806514802637399,0.0030168661232465865,35.62552537184727,35.56986333795523,35.58978161110031,0.055662033892033946,10.079073587940726,0.3153024804271026,18,10.17392260407797,10.60313217781819,9.538753653518034,10.134773709810712,1.3292767873927183,0.36757023434288066,2.1245806725465957,152,47.41059602649007,0.29,12.99,24.366632328910477,12.671943891031272,57.186398872916854,2346.1046179397213,19.466145141757572,55.600247506690096,-21.663120612943445,14.228252543734406,26.6987414308811,2213.9653889844094,-25.23819140464454,77.77603420722744,45.869029499824265,10.72920504495144,56.452908916665,4024.0096692711577,49.73477557422764,40.48337752159219,108.24088799266687,6.383395855011657,119.83300611353737,99.54912708779207,0.0013100707674056995,0.004627682820083601,107.96772463800399,20.283879025745293
Joy,35.67475542509791,0.010552327924805,0.04916235904839539,35.71027550289045,35.656988788791935,35.673119595231086,0.05328671409851182,9.936201469989925,0.3385711990361922,26,9.937767343325932,10.564074847358855,9.48202647649323,9.990178437367963,1.1408915702071987,-0.7253532372851936,2.3537152343997345,109,52.2962962962963,-0.52,18.02,35.609535232743305,15.579903902874308,61.546445252197344,2950.1796260340275,38.02633077273116,55.028734790898085,-17.025453793978716,10.759300322181229,3.347572632776172,1528.6682052125514,-19.20258772445182,54.345656350789774,29.34999532314765,29.271459454558663,58.15714464141718,3146.233285946793,47.894984632891685,83.19924135494607,90.67315482990605,15.15056534990169,115.04156158962243,73.30000090746135,-0.006684487666238498,0.006305780987871385,86.9,41.74156068216108
