label,temp_mean,temp_std,temp_change,temp_max,temp_min,temp_median,temp_range,eda_mean,eda_std,eda_number_of_peaks,eda_mean_peak_amplitude,eda_max_peak_amplitude,eda_min_peak_amplitude,eda_median,eda_range,bvp_mean,bvp_std,bvp_number_of_peaks,bvp_mean_peak_interval,bvp_median,bvp_range,accX_mean,accX_std,accX_peak,accX_energy,accX_median,accX_range,accY_mean,accY_std,accY_peak,accY_energy,accY_median,accY_range,accZ_mean,accZ_std,accZ_peak,accZ_energy,accZ_median,accZ_range,hr_mean,hr_std,hr_max,hr_min,hr_gradient,hr_variation_std,hr_median,hr_range
Shame,0.9568059786043172,-0.23073253670687024,-0.5596465635440596,0.9341728427721976,0.9419551625241984,0.9744475947738874,-0.2752355846087334,-0.20657921710323635,0.5296355659087919,-0.30731819650117603,-0.15138717168849242,-0.0912149856642667,-0.3839334958307546,-0.2212210606757925,0.8918829687304559,1.4549610368732606,2.472592357566733,0.18153897891651422,0.1942358804879029,0.8024919547679578,2.519774385329971,-0.8734056894666291,-0.26298802812706673,-0.8768096437192237,0.07918358132460288,-0.8985908624688733,-0.06598584536747541,1.1064956138943607,2.490292183294181,0.9357633147080017,1.7745374799039737,1.9435893977614778,1.3085550389235001,-0.17532039559587184,-1.0577984932962354,-1.4245949252270607,-0.3524861425027747,-0.23925324429726175,-0.42212307538631755,-0.6659246748318552,-0.8076769923029473,-0.8040198210963637,-0.2582876130325323,0.08281885742435141,-0.9497306942532225,-0.6450774555106923,-0.7379677238709776
Neutral,0.8650047674852537,0.12590083828652987,0.1631674455477726,0.8821097103203499,0.8638684089817635,0.8683556675042324,0.04873126152286326,0.0853204579946302,1.4730776504059786,-0.38095674198867824,0.12030451789083839,0.25927860905454236,-0.33003307160889545,0.13699772032247026,1.300308333667742,1.8739284117551789,0.5022420629429337,1.6497918413262187,-0.42134752617182525,2.023913148985431,0.5124549761530258,-0.8059624912938816,-0.6417733188761134,-0.6469877076492028,0.44905926764540655,-0.8210963707669469,0.1766856995506029,2.0518594872904212,1.1220200253050465,1.3614699514928539,3.2153580143534173,2.1594168336046002,1.5468595230775433,-0.09838142349038607,-1.2959730881780582,-1.9908742719168988,0.34170459652661195,-0.19099090382536962,-0.5948962175488012,0.2231255014232535,2.8737813086621884,2.2366004033630618,-0.38705087965548846,-0.37725786962820235,2.5500872707067725,-0.6282624270930218,2.9117090799471943
Frustration,1.024234923024665,0.5816286950276772,0.7066570470695835,1.018400450884651,0.9714090764153722,1.0515441747085708,0.3690101985682476,-0.44277482495509224,0.12588564266463179,-0.5527800147928501,-0.45822293300606526,-0.2638885352750195,-0.4702158992554772,-0.47741762196402726,0.20069596757940272,2.957426129918731,2.3222702378049624,0.5486021945189403,0.7855651995522202,3.6463980189161043,1.304751287719714,-0.9310539853936936,-0.6996207464692957,-0.5701591882472138,0.4934695614195672,-0.9482607171459391,0.004766507213234118,2.088396066909418,-0.31479006780142155,1.218232624277556,2.363678826844672,1.9898148501301436,0.6511611934085013,-0.237207622614573,-0.8834831515383975,-0.7359828487692632,-0.14885823548047902,-0.31605426020703625,-0.030019680161079663,0.04610562822076859,0.7282451891812749,0.43752369387678147,-0.22167686597089387,-0.04976323121996216,0.3372998180603943,-0.32270043504985324,0.6829797105692174
Pride,1.0204352317845287,-0.7220007226256151,0.254387299402032,1.0022860791108856,1.0568718153146646,1.0108930284744957,-0.8529338102735238,-0.388880971751198,0.07478830523442215,-0.6755109239386872,-0.3770787172529609,-0.24958685318215698,-0.4374401124040283,-0.40074582837394485,0.1294265413643617,2.6579927045640175,0.7597715894649518,0.4017769082779699,-0.37602472446856666,2.3292684475397993,0.34412365117160487,-0.9070502772413165,-0.5097307999533618,-0.5472376384078783,0.19123788854618007,-0.9470949120166501,0.009567370386482523,2.1836745624080156,-0.3368017147309996,1.0525166837997186,2.1511793967478057,2.1049973018388606,0.20233135475862402,-0.32085589591608943,-0.5543379272698907,-0.07140084067690973,-0.42171290723659566,-0.524055992560774,0.15659033019842822,-0.6320592779920926,-0.965710204847983,-0.9406745881345221,-0.11932937667209685,-0.21291780616198053,-1.0884668088534062,-0.5575770222759759,-1.005450068016577
Joy,0.8708690888296088,1.9616314165364948,-0.24545288376058286,0.9591883846987195,0.8102034185882059,0.8745383655527115,1.6106023853055673,-0.1881688629552616,0.4087423600547875,-0.6755109239386872,-0.1576060542257429,-0.025652324184545314,-0.2570415426662698,-0.22462900506716457,0.4506810642001406,-1.6222105893215315,1.2704796337394846,0.26543914248278305,0.15037024456553685,-1.6540230589753933,0.8155779260255849,-0.9928698373536813,0.42993913101087744,-0.49239837784088536,0.470465675561879,-1.0649999535888464,0.24906428525268565,2.2907246378325943,0.11413837756763878,1.0623996524981176,2.383248062901867,2.2902552453628364,0.45412115176417905,-1.6242764109579435,0.4901146236605364,-0.8635117408233295,-1.204246023865214,-1.879977928011038,-0.037635938549925446,-1.0383195723269805,-0.3267052203734627,-1.0192409022270073,-1.1121336576533554,-0.12111783784986381,-0.3410618758384654,-0.8936759882589714,-0.3259042187144617
Pride,1.5149258940254229,-0.7741231330081721,0.14861757095984057,1.4863716578134345,1.5304194199753418,1.5149530453670812,-0.8198292655111895,1.0090651101505306,-0.37122384753013193,-0.4791414693053479,0.9641017708026318,0.8026066177164354,1.1767253586617203,0.9964718433341792,-0.3172567196755126,0.13834474228454607,-0.2943290405570604,-0.43722472738471846,-1.482398408331958,-0.20472477628451077,-0.3165451581539723,0.7757907796438921,0.894517078500194,1.0558971825882877,-0.8596298987653576,0.6233900311255252,0.473719690624852,-1.747605523737169,0.03523720937121525,-1.3611608178004229,0.11506495117663901,-1.8474873360632913,-0.2504844804762707,0.17459893962537743,1.814822359372673,0.5913162117750926,0.07772666180444232,0.7072513213943081,1.0323185501316199,2.6558785236844518,-0.7432488492977849,1.6113701375600133,3.5367495463517846,-0.6129036266802884,-0.9831566755644665,2.4371346983399613,-0.8664136485421924
Neutral,1.5183028560130591,-0.9363368761895813,0.022793786621949842,1.4865822164849631,1.5429896804598136,1.5223014067912064,-0.9689345733527004,1.1274990847801105,0.12902528132195756,-0.7736956512553568,1.1193844925759764,0.9379372531252236,1.2752997399515376,1.132804003557211,0.3433156342843656,-0.29192787713296786,-0.5156786413731468,0.07666377445867817,-2.079617945224791,-0.3460085711380244,-0.1817535332628345,1.4200039502655333,0.5360322856142095,1.166299190138831,0.6195107990776539,1.43721572760716,1.8785769750478885,-1.319656771724247,-0.29838203223256243,0.12229370250003518,-0.25854428235029125,-1.2412085903675183,1.101816975967081,-1.9717750204343414,-0.5165460677222812,-1.4889800003209044,-2.0135693644525725,-1.9707319541191062,0.4025301421611797,2.7119332274104226,-0.6888370853285438,1.6381029965586884,3.515833594131376,0.25456435491756424,-1.0182546199520734,2.5168890563595636,-0.8189568175386476
Shame,1.5434186877562672,-0.7716231169586386,0.07714911114772756,1.5233627231920333,1.5701321481756019,1.542331623046836,-0.85983603015169,1.21989616013515,-0.04451604602850665,-0.6509647421095197,1.1752046122744138,1.0316252613589805,1.375111962346812,1.2162513691217915,-0.047229233600128664,0.02307940705903918,0.42785710135143085,-0.50014985005942,-1.9714276955487013,-0.5556554925335608,-0.05455580273176064,0.5476122940823789,0.5265384831665686,0.9673708209679922,-1.3559275117899712,0.46502546467268036,0.5942305974330232,-1.6909014721533304,0.3373568342260473,-1.1763464618420358,0.043979320486501466,-1.7505634262882483,0.20503549474346397,0.6999012457302358,1.269722233681992,1.1370069526497406,0.23981604901855466,0.9470882401566265,1.3664625532780186,2.8916536038518994,-0.8855825500099131,1.6717367620623222,3.8418313054547495,-0.25454152536998764,-0.7277045141239094,2.755780897143343,-1.0329453792945458
Frustration,1.609518602734242,-1.1373938951373634,-0.13554568884669846,1.5763984259600319,1.6529434243985226,1.6051733969748556,-1.2292422033313155,1.1867720615969946,-0.08157918595326838,-0.6755109239386872,1.1531490008161158,0.9971162589272152,1.3039344505519685,1.1778969609852281,-0.025600197532337617,-0.40254348688655744,-0.48272532021344317,-0.42673720693893485,-2.5620285016985846,-0.45538957360526083,-0.46779022082524896,0.6540093917522457,0.7236349478496127,0.9554949491005433,-1.1760769369883917,0.5130021459544902,0.4290484393971997,-1.7425240700019524,0.5079304820335291,-0.3163834071307418,0.11343066527591536,-1.7733453657052087,0.4382013101048578,0.7757696059089008,-0.5079146515062485,0.07362285449361458,-0.024752541578828863,0.75335649292741,-0.9028395531848197,2.2838368491269514,0.11244342142284561,1.8020426826756102,2.5384039838078,0.6074275862802935,0.646935200667989,2.150691293904858,0.13174875268290007
Joy,1.6531800076908154,-1.2283833839125313,0.08411629872246557,1.622808395329488,1.6998860649945633,1.6503987397280109,-1.2446773437483913,1.1607088866623874,-0.04382013405291505,-0.4791414693053479,1.1113687545699824,0.9909988636166268,1.2924298117411352,1.1518545223454468,-0.10515230458156043,-0.854176546686393,-0.3959876790416622,-0.8777005861076298,-1.8796021391317201,-0.8245504569321838,-0.14947948223256194,0.9239240457925528,1.3139069823699134,1.0672268787293457,-0.8619682368419925,0.9460959386630183,0.40356346542829874,-1.4386711985363376,0.023649439361874983,-1.2675605609336669,-0.4423722695409495,-1.418016223634805,-0.21537523766119948,-0.16138187973294396,1.8289785716807114,0.2902839473019298,-0.6230306443212488,0.6651451267228707,0.7106973919518184,0.7473933448189369,2.0648157893004395,1.49020787719396,-0.028774090610377886,-4.045923289146481,1.5635425992427627,0.41760356001611293,1.7620348983917544
