label,shoulderDistance_mean,shoulderDistance_std,shoulderDistance_var,rightWristVelocity_mean,rightWristVelocity_std,rightWristVelocity_var,leftWristVelocity_mean,leftWristVelocity_std,leftWristVelocity_var,symmetry_mean,symmetry_std,symmetry_var,trunkInclination_mean,trunkInclination_std,trunkInclination_var,headInclination_mean,headInclination_std,headInclination_var
Shame,0.12527950310559002,0.005235107454833663,2.7406350063654996e-05,0.0017375000000000001,0.0058099994621342264,3.3756093750000005e-05,0.0229,0.046585163947334134,0.0021701775,0.18172049689440992,0.018459696295734008,0.0003407603873307359,-0.5451612679037413,2.44161515737113,5.961484576704448,21.316057333339614,10.94551657683556,119.80433313378205
Neutral,0.13101736972704714,0.019104185971080906,0.00036496992161764443,0.007965174129353233,0.025278031700692625,0.0006389788866612212,0.014860696517412935,0.04473048642073168,0.002000816415435261,0.19033746898263024,0.05309937554175168,0.002819543682923977,-12.328912841020724,10.23367242361882,104.72805127393629,13.223640609597098,12.64122492888144,159.80056770257357
Frustration,0.12417840375586855,0.005725005138598676,3.277568383698125e-05,0.004952830188679246,0.023554586171823974,0.0005548185297258812,0.003528301886792453,0.0083261438073887,6.93246707013172e-05,0.17164788732394362,0.018950713384728316,0.00035912953779012094,-11.702029387821597,4.082244271822247,16.664718294825548,12.163419891891273,5.9556826150128614,35.47015541076644
Pride,0.12833333333333335,0.00897527467855751,8.055555555555561e-05,0.005221556886227546,0.01663104419779586,0.0002765916311090394,0.004802395209580839,0.015464945688917717,0.00023916454516117468,0.1663988095238095,0.03202642879622874,0.0010256921414399092,-12.80971386051536,5.017833001852281,25.178648034477874,9.236056214161021,3.0243619608572474,9.146765270280294
Joy,0.12851190476190477,0.006955631578627235,4.8380810657596404e-05,0.0031976047904191617,0.01069738314911731,0.000114434006239019,0.007419161676646706,0.020213628337206038,0.000408590770554699,0.17088690476190477,0.02967450918181135,0.000880576495181406,-7.649872741670174,2.0458894460151176,4.185663625316044,2.2436265774052955,7.319143152183404,53.56985648215321
Pride,0.12971014492753616,0.02874026688391578,0.0008260029405587062,0.035308823529411754,0.10551237136175369,0.01113286051038062,0.04785294117647059,0.12664903621308146,0.01603997837370242,0.15276811594202902,0.07120762557429215,0.005070525939928586,-11.721215606481556,2.3343165022360233,5.4490335326114225,33.24866241290736,6.074707241105524,36.902068065139886
Neutral,0.13022831050228315,0.04231263207623295,0.0017903588332186576,0.033137614678899086,0.0724219247924309,0.005244935190640517,0.020862385321100917,0.042004252272706176,0.0017643572089891422,0.08925570776255708,0.08855763751074987,0.007842455161485372,-7.331442368106991,15.180712753503093,230.45403970437144,46.52692769907906,12.889797968850408,166.14689167778008
Shame,0.12660714285714286,0.0244421171717332,0.0005974170918367349,0.008690909090909091,0.034812679365830185,0.0012119226446280988,0.0077272727272727285,0.0284205140670381,0.0008077256198347106,0.16171428571428573,0.016813806280335603,0.000282704081632653,-14.795087420279998,2.708121024946466,7.3339194857570975,44.30368062223756,6.867892874058409,47.16795252954227
Frustration,0.12056603773584906,0.0040817561609026295,1.666073335706657e-05,0.006500000000000001,0.03271291205907257,0.0010701346153846154,0.005653846153846154,0.012283329252071403,0.000150880177514793,0.14660377358490564,0.01700980807257146,0.0002893335706657173,-15.476502810766135,3.4605484233355033,11.975395390249837,32.69508580350493,5.055290382678489,25.555960853201622
Joy,0.12689655172413794,0.021672077741338853,0.00046967895362663497,0.01314285714285714,0.0344110803227622,0.001184122448979592,0.01975,0.0398269695056001,0.0015861875000000001,0.08655172413793105,0.030233101528983616,0.0009140404280618314,-15.654657004952556,4.499397403030476,20.24457699039739,37.00214832456629,8.239143821048918,67.88349090392857
Shame,0.15426751592356688,0.013647230728914118,0.00018624690656821779,0.012884615384615383,0.04782593459331313,0.0022873200197238656,0.007,0.018770202791139813,0.0003523205128205129,0.18080891719745223,0.027605532021509675,0.000762065398190596,-14.189476723265933,2.236264133147932,5.000877273203873,5.81830789320654,2.628574007040004,6.909401310486344
Neutral,0.16190871369294604,0.02533771823912586,0.0006419999655653312,0.015791666666666666,0.053696662812713264,0.0028833315972222233,0.008450000000000001,0.02775063062346512,0.0007700975000000001,0.1473278008298755,0.07948754707485273,0.006318270139976928,-0.027557227269613193,14.260358974302562,203.35783807597164,20.691413252804328,8.431699165509631,71.0935508176558
Frustration,0.1449206349206348,0.021885199454252893,0.0004789619551524312,0.013784,0.04495305711517294,0.0020207773440000004,0.0092,0.02317930111112067,0.00053728,0.177468253968254,0.04362624201314466,0.0019032489921894686,-8.453801249266547,2.0028104256914236,4.011249601258262,2.1205279159150923,3.1042839775545796,9.63657901330208
Pride,0.15475247524752472,0.024438002357387648,0.0005972159592196843,0.01348,0.05434086491766579,0.002952929600000001,0.007370000000000001,0.028819665161136078,0.0008305731000000005,0.20916831683168313,0.03477254786876792,0.0012091300852857562,-9.961931630233009,2.684800361850338,7.208152982991706,28.934528814370342,4.886134523953521,23.8743105861705
Joy,0.14903225806451612,0.011691787038278471,0.00013669788414845646,0.00652972972972973,0.02557744852208537,0.0006542058728999271,0.003632432432432432,0.01119435316272991,0.00012531354273192114,0.2016397849462366,0.018701225535052282,0.00034973583651289156,-16.582058308839297,3.5539997243203603,12.630914040469197,1.0625452395346375,6.264570131221654,39.24483892899449
Frustration,0.11000000000000006,5.551115123125783e-17,3.0814879110195774e-33,0.0002173913043478261,0.0014583052027172542,2.126654064272212e-06,0.0002173913043478261,0.0014583052027172542,2.126654064272212e-06,0.18870212765957448,0.0008971561124386396,8.04889090086013e-07,-7.754926871258778,1.7162510019357642,2.9455175016455146,1.1944694339771842,2.006772879471158,4.027137389780963
