label,shoulderDistance_mean,shoulderDistance_std,shoulderDistance_var,rightWristVelocity_mean,rightWristVelocity_std,rightWristVelocity_var,leftWristVelocity_mean,leftWristVelocity_std,leftWristVelocity_var,symmetry_mean,symmetry_std,symmetry_var,trunkInclination_mean,trunkInclination_std,trunkInclination_var,headInclination_mean,headInclination_std,headInclination_var
Shame,0.2839787774792225,-0.4057261411793628,-0.33348129955321726,-0.829471513733454,-0.9481467863220838,-0.6174769087344387,1.1364745782842598,1.0710309605402453,0.5283637361784929,1.1741663074167012,-0.4697974082806943,-0.5267718186535626,1.137094280407886,-0.2354819945437744,-0.3021667655396573,1.2404069854228381,1.25480664467811,0.6230071643422174
Neutral,0.6078405657972477,0.30289600844374254,-0.12078517104098452,-0.298089168681759,-0.09920934668779732,-0.3188200418785586,0.3910440264903328,0.9836021771754687,0.4505942564135787,1.3552248552955333,1.0647948470225768,0.7616018452437082,-1.0439046241165868,1.655099023079065,1.0143890541183882,0.5177453947114394,1.6088272710160199,0.9666759734767391
Frustration,0.22182954536165006,-0.38069546957718936,-0.3300981249380802,-0.5551203418051103,-0.17436318949524343,-0.3603503160357452,-0.6597327231307093,-0.7324844946189273,-0.43633386254734263,0.9625221192369395,-0.4480445792016303,-0.5172242596869874,-0.9278777275710953,0.16258261853039413,-0.15949293256184766,0.4230665346726876,0.2130566631112031,-0.10163671125958514
Pride,0.45634578843031337,-0.21462726356321513,-0.2999924068104756,-0.532190975278342,-0.47627629116921,-0.4976458290091363,-0.5415946169253353,-0.3959641269366795,-0.3583445256578961,0.852229269908286,0.13123017275338472,-0.17077134248042217,-1.1328938131966035,0.38958381126526503,-0.04600246588135366,0.161649783143738,-0.3989282768281291,-0.32782120686265764
Joy,0.4664248763588085,-0.31781824580962,-0.3202654583253667,-0.7048866540508993,-0.7350239117092033,-0.5776651024861276,-0.29895945883163416,-0.17211305818198472,-0.2805451336591348,0.9465324657678026,0.02703643586144411,-0.24619672443747728,-0.17788319897122828,-0.3314966274592289,-0.3258384136125129,-0.4627817676203055,0.4977124252732323,0.05388549676716571
Pride,0.5340570170963915,0.7952387666447299,0.16970807677496696,2.0350342797642265,3.399548722332777,4.859553680335601,3.4501930179906974,4.845211023254499,6.897283734316988,0.5658231447367463,1.867018795450925,1.9315735256970015,-0.931428814134631,-0.2615157868637555,-0.3089977249113515,2.3060015614944636,0.23790596731385166,-0.08933296011854257
Neutral,0.5633037808770004,1.4887007429961334,0.7773410744129371,1.8497737753418095,1.9565821891626922,1.9540627621623823,0.9475402710118637,0.8550885507845732,0.34201376687432006,-0.7686902179075393,2.635651604028916,3.372312864867964,-0.11894642560161486,2.8553957125819287,2.6903132791424897,3.4917650535597913,1.6607229777242871,1.021206946865992
Shame,0.3589146051215198,0.5756305147424334,0.025677946888543173,-0.2361651280612194,0.3165655645857362,-0.0360917810740757,-0.27039039299409817,0.21475637021259475,-0.09726507458104934,0.7537987458480223,-0.5427129238307336,-0.5569471935713921,-1.500357225171195,-0.1708198755286162,-0.28387224314166687,3.293226678196478,0.40350288393068634,-0.00112304919491151
Frustration,0.01793715878580371,-0.464655093973059,-0.3402520273940388,-0.42310657463354623,0.22500155547668874,-0.10605935180590087,-0.46264529642961155,-0.5459442988086131,-0.3988841180966127,0.4362988913932209,-0.5340297362568969,-0.5535014469865736,-1.6264771803446276,0.011741020512985513,-0.22200148749826173,2.2565665698488075,0.02507774465142143,-0.18682471642707268
Joy,0.37524967866080633,0.43409902846471804,-0.0548088406388347,0.1437016643809478,0.299053139128249,-0.049810232242158914,0.8443962604005264,0.7524522807921882,0.2601994255599482,-0.8255059234187826,0.05178295512780785,-0.22880349369793912,-1.6594508984297458,0.2637961702737057,-0.11177350728652659,2.641191924550534,0.6897850848376601,0.17687581695987648
