label,sre-score
Shame,0.6975076922201698
Frustration,1.1504347650904099
Pride,1.60336183796065
Joy,1.71659360617821
Neutral,-0.7745052946081106
Pride,-0.7745052946081106
Shame,-0.7745052946081106
Frustration,-0.8877370628256707
Joy,-0.6612735263905506
Neutral,-0.7745052946081106
Shame,-0.5480417581729905
Frustration,-1.0009688310432308
Pride,-1.2274323674783507
Joy,0.13134885113236966
Neutral,-0.7745052946081106
Frustration,-0.5480417581729905
Shame,-1.0009688310432308
Pride,1.37689830152553
Joy,1.26366653330797
Neutral,-0.7745052946081106
Shame,-0.20834645352031045
Frustration,-0.4348099899554305
Pride,-0.20834645352031045
Joy,0.5842759240026097
Neutral,-0.7745052946081106
Pride,0.8107394604377298
Shame,-0.5480417581729905
Frustration,0.01811708291480962
Joy,1.71659360617821
Neutral,-0.7745052946081106
Frustration,0.2445806193499297
Pride,0.5842759240026097
Shame,-0.20834645352031045
Joy,1.1504347650904099
Neutral,-0.7745052946081106
Frustration,-0.6612735263905506
Shame,-0.4348099899554305
Pride,-0.8877370628256707
Joy,-0.5480417581729905
Neutral,-0.7745052946081106
Shame,-1.6803594403485909
Pride,1.9430571426133303
Frustration,-2.699445354306631
Joy,1.9430571426133303
Neutral,-0.7745052946081106
Pride,1.1504347650904099
Frustration,-0.7745052946081106
Shame,-0.7745052946081106
Joy,0.8107394604377298
Neutral,-0.7745052946081106
Shame,1.37689830152553
Frustration,1.71659360617821
Pride,1.71659360617821
Joy,1.71659360617821
Neutral,-0.7745052946081106
Frustration,1.26366653330797
Pride,1.26366653330797
Shame,0.01811708291480962
Joy,1.26366653330797
Neutral,-0.7745052946081106
Shame,0.2445806193499297
Frustration,0.13134885113236966
Pride,0.35781238756748973
Joy,0.5842759240026097
Neutral,-0.7745052946081106
Frustration,-1.3406641356959108
Shame,-1.2274323674783507
Pride,1.9430571426133303
Joy,1.9430571426133303
Neutral,-0.7745052946081106
Pride,0.47104415578504977
Shame,0.2445806193499297
Frustration,0.2445806193499297
Joy,0.9239712286552899
Neutral,-0.7745052946081106
Frustration,-0.5480417581729905
Shame,0.5842759240026097
Pride,1.8298253743957702
Joy,0.47104415578504977
Neutral,-0.7745052946081106
Shame,-0.5480417581729905
Pride,1.4901300697430901
Frustration,-0.20834645352031045
Joy,1.60336183796065
Neutral,-0.7745052946081106
Pride,-0.3215782217378705
Shame,-1.0009688310432308
Frustration,-1.2274323674783507
Joy,-0.3215782217378705
Neutral,-0.7745052946081106
Shame,-0.5480417581729905
Pride,0.13134885113236966
Frustration,-0.6612735263905506
Joy,0.01811708291480962
Neutral,-0.7745052946081106
Frustration,-0.4348099899554305
Pride,-0.09511468530275041
Shame,-0.7745052946081106
Joy,-0.20834645352031045
Neutral,-0.7745052946081106
