label,neutral_mean,neutral_std,neutral_var,happy_mean,happy_std,happy_var,sad_mean,sad_std,sad_var,angry_mean,angry_std,angry_var,surprised_mean,surprised_std,surprised_var,scared_mean,scared_std,scared_var,disgusted_mean,disgusted_std,disgusted_var,valence_mean,valence_std,valence_var,arousal_mean,arousal_std,arousal_var,head-pitch_mean,head-pitch_std,head-pitch_var,yaw_mean,yaw_std,yaw_var,roll_mean,roll_std,roll_var,mouth_mean,mouth_std,mouth_var,left-eye_mean,left-eye_std,left-eye_var,right-eye_mean,right-eye_std,right-eye_var,left-eyebrow_mean,left-eyebrow_std,left-eyebrow_var,right-eyebrow_mean,right-eyebrow_std,right-eyebrow_var,left-inner-brow-raiser_mean,left-inner-brow-raiser_std,left-inner-brow-raiser_var,left-outer-brow-raiser_mean,left-outer-brow-raiser_std,left-outer-brow-raiser_var,left-brow-lowerer_mean,left-brow-lowerer_std,left-brow-lowerer_var,left-upper-lid-raiser_mean,left-upper-lid-raiser_std,left-upper-lid-raiser_var,left-cheek-raiser_mean,left-cheek-raiser_std,left-cheek-raiser_var,left-lid-tightener_mean,left-lid-tightener_std,left-lid-tightener_var,left-lip-corner-puller_mean,left-lip-corner-puller_std,left-lip-corner-puller_var,left-dimpler_mean,left-dimpler_std,left-dimpler_var,left-lip-corner-depressor_mean,left-lip-corner-depressor_std,left-lip-corner-depressor_var,left-lip-stretcher_mean,left-lip-stretcher_std,left-lip-stretcher_var,left-eyes-closed_mean,left-eyes-closed_std,left-eyes-closed_var,right-inner-brow-raiser_mean,right-inner-brow-raiser_std,right-inner-brow-raiser_var,right-outer-brow-raiser_mean,right-outer-brow-raiser_std,right-outer-brow-raiser_var,right-brow-lowerer_mean,right-brow-lowerer_std,right-brow-lowerer_var,right-upper-lid-raiser_mean,right-upper-lid-raiser_std,right-upper-lid-raiser_var,right-cheek-raiser_mean,right-cheek-raiser_std,right-cheek-raiser_var,right-lid-tightener_mean,right-lid-tightener_std,right-lid-tightener_var,right-lip-corner-puller_mean,right-lip-corner-puller_std,right-lip-corner-puller_var,right-dimpler_mean,right-dimpler_std,right-dimpler_var,right-lip-corner-depressor_mean,right-lip-corner-depressor_std,right-lip-corner-depressor_var,right-lip-stretcher_mean,right-lip-stretcher_std,right-lip-stretcher_var,right-eyes-closed_mean,right-eyes-closed_std,right-eyes-closed_var,horizontal-position_mean,horizontal-position_std,horizontal-position_var,vertical-position_mean,vertical-position_std,vertical-position_var,depth-position_mean,depth-position_std,depth-position_var
Frustration,0.6469683194001874,0.1510605148716578,0.022819279153290354,0.0017087138644348641,0.0032178550427997203,1.0354591076471589e-05,0.08218358413130272,0.1224294933070481,0.014988980831420534,0.016564498767385194,0.016592447301053775,0.0002753093074382467,0.019844530350796624,0.022936062856663948,0.0005260629793648395,0.061133622036457363,0.04565174950713055,0.0020840822330617944,0.04129108777844423,0.05255261346730266,0.002761777182243721,-0.12702558580787254,0.1137871312159272,0.012947511230350634,0.4566582797188378,0.11392463433837682,0.012978822309132868,12.19277919587629,2.1963822689705634,4.82409507144828,5.655612371321463,2.779200886817623,7.723957569287862,-3.731628251019681,3.380547369932574,11.428100520358043,0.48828491096532334,0.4998627378480112,0.2498627566889096,0.8978444236176195,0.3028527936083208,0.09171981459636414,0.8219306466729147,0.3825711159154059,0.14636065873275894,0.34957825679475163,0.4768367636530287,0.22737329917109433,0.41518275538894095,0.4965429120505944,0.24655486350768432,0.3456097627928772,0.1844616721947189,0.03402610850887193,0.002716076543250347,0.007048198347059537,4.967709993949278e-05,0.8560319813495783,0.24235173056324588,0.058734361307000126,0.05900023329896907,0.029357540058574386,0.0008618651582907998,0.07089304842549204,0.01501521871229897,0.00022545679297817316,0.42014240399250236,0.24419380755277775,0.059630615647123054,0.03874946773195876,0.012269448166049588,0.0001505393582993776,0.05161863047797564,0.006492266976827488,4.214953049840473e-05,0.03032919604498594,0.00993544772607325,9.871312151753413e-05,0.0848178447891284,0.04884266747731194,0.0023856061662992653,0.1482714249484536,0.19767780795249876,0.03907651575690498,0.3178491581068416,0.18410597277722673,0.03389500921224895,0.003430462229145745,0.010185909209123463,0.00010375274641650616,0.8550735745079662,0.24340466040577077,0.0592458287072486,0.08304179702905341,0.05227608456860899,0.002732789017824359,0.07311602652296156,0.01320312535264087,0.00017432251907754806,0.42972449521087164,0.24218277896104765,0.058652498425295664,0.038621719812558575,0.013592178602141462,0.00018474731915251222,0.050921373580131206,0.0050336462649770925,2.5337594720917832e-05,0.033042169409559514,0.011411343497752444,0.000130218760423697,0.10858981326148079,0.09082424340855987,0.00824904319073733,0.1875130132614808,0.2371791596489241,0.05625395377176983,7.847390779194002,1.1898956914818668,1.41585175660711,-4.222182614245549,1.2074112681505773,1.4578419704569854,200.01747872539832,20.489714886033756,419.82841611095324
Joy,0.6159542541022593,0.1559502177060984,0.024320470402579484,0.0018376620331260404,0.0054615486610758,2.9828513777298862e-05,0.10457074476932222,0.1260881576205022,0.015898223492132612,0.006612497125326993,0.006403698885358997,4.1007359414348065e-05,0.04647800556004757,0.04602133021072868,0.002117962834364928,0.04913219075996433,0.040782624091497924,0.001663222427788427,0.019826409362306775,0.03078761032551906,0.0009478769495560079,-0.12463559570261595,0.11724874704306491,0.013747268683168624,0.4594111123662307,0.1251245177677124,0.01565614494660258,11.748038811771698,2.6011284467847777,6.765869196672989,2.373783960406659,2.5821719331786315,6.667611892495471,-4.952698674294887,3.825780698731353,14.636597954785362,0.4768133174791914,0.499462088404795,0.24946237775367924,0.8525564803804994,0.3545474977231041,0.12570392814171452,0.7443519619500595,0.4362248487777338,0.19029211869115673,0.2437574316290131,0.4293480478057867,0.1843397461546401,0.34720570749108204,0.47608182508545654,0.22665390417669923,0.39272868804994054,0.20700228254737235,0.042849944979822176,0.012967766929711856,0.027220956030754116,0.0007409804472282489,0.5624082102259215,0.23839661830514003,0.056832947619326626,0.07808890070154577,0.05495490757700705,0.003020041866797387,0.0637293227824019,0.011799419386156399,0.00013922629785040344,0.1997696463258026,0.14708378109019937,0.021633638659789692,0.03508429932223544,0.009832435679634061,9.667679139414093e-05,0.05272174362663496,0.014788047519034942,0.0002186863494252355,0.03131732602853746,0.01017159198134211,0.00010346128343490313,0.07500034256837099,0.033755584569851706,0.0011394394896524108,0.18583733884661116,0.21419239415851601,0.04587838171535709,0.33869252948870393,0.20187556699034176,0.040753744547671965,0.01860007476705137,0.044729381720426106,0.002000717589091589,0.5609467362663496,0.23945566265557577,0.0573390143778209,0.12693000531510107,0.0845650507474482,0.00715124780791849,0.06515541915576695,0.01005815927095277,0.00010116656791985314,0.21090162671819263,0.1543673268589572,0.02382927160158013,0.03497700607609988,0.0072344988699687834,5.233797389957961e-05,0.05205814630202141,0.016123564218500676,0.0002599693231081153,0.038795083816884665,0.017814398465558434,0.00031735279268969065,0.09163319294887039,0.060569240711400456,0.00366863292035557,0.2468652908204518,0.26099968559758746,0.06812083588203952,6.986351856123662,1.2181315848337713,1.4838445579696355,-5.082127953626635,1.4438454347483902,2.084689639443768,190.84315398335315,15.086546762717875,227.6038932236732
Pride,0.63109125,0.15356526414407898,0.02358229035164075,0.0013291562921170213,0.003633891117512714,1.3205164653937802e-05,0.08273706335815603,0.1358047034219931,0.018442917471535505,0.008115646509929079,0.008375654371074662,7.01515861437021e-05,0.054940952819858155,0.045288711125239856,0.002051067355385424,0.06683008576560283,0.04860692967511316,0.002362633612441396,0.021649608766583922,0.023445932478443562,0.0005497117497837346,-0.1251264044858156,0.12416295713970722,0.015416439925676774,0.42707151663120574,0.15092213082013692,0.022777489571290523,11.693047608747046,1.9860672221187072,3.9444630107743186,6.456480070921986,1.2501363158107723,1.5628408081089311,-4.031997074509456,2.0493139434274052,4.199687638725982,0.5354609929078015,0.4987409327316065,0.24874251798199284,0.8888888888888888,0.3142696805273545,0.09876543209876545,0.6737588652482269,0.4688367058450613,0.21980785674764855,0.0035460992907801418,0.059443456078865975,0.003533524470600068,0.04964539007092199,0.22258659328333638,0.049544791509481406,0.6110839814420803,0.19148209870506422,0.03666539412449596,0.01602797934599731,0.03391787930629126,0.0011504225366361408,0.6972697451536644,0.2165420924882639,0.04689047781919583,0.05988310925531915,0.0285374829511584,0.0008143879331876565,0.0649921053427896,0.011410639652807454,0.00013020269728622182,0.21842400847517732,0.15909293647367684,0.025310562435817374,0.03578962411347518,0.006765642952314436,4.5773924558202e-05,0.050894721099290774,0.001764918050978122,3.1149357266684126e-06,0.03676171826241135,0.04332574522313526,0.0018771201991400275,0.0927786122458629,0.05574875500741962,0.0031079236848772936,0.1491475821040189,0.1525486129973722,0.02327107932742204,0.5658586179669031,0.201930677406828,0.04077599847798043,0.01999589452134629,0.03308874406069771,0.0010948649835143577,0.6952836632387707,0.21813341754677645,0.04758218785063632,0.09963924419621749,0.05836859032005343,0.0034068923359502354,0.06681160112293144,0.009934177349602941,9.86878796133641e-05,0.22526638267139482,0.15666668482878288,0.024544450135241185,0.03477500489361702,0.005482448092411259,3.005723708598385e-05,0.050434518652482274,0.0012046398437194558,1.4511571530764349e-06,0.043446698877068556,0.05275507389977007,0.0027830978221702013,0.12852207213947991,0.11730220163565797,0.013759806508572558,0.3291025786643026,0.35878019997740257,0.12872323189582496,5.238045930260046,0.7515874204166075,0.5648836505284904,-4.763174816784869,1.098800517629759,1.2073625775434262,196.0692395981088,17.227767565638846,296.7959752956778
Shame,0.5558632580099503,0.23805599950706915,0.05667065890130971,0.008993760071217662,0.022107891049735606,0.0004887588466669796,0.20721498989303483,0.22784019401222322,0.051911154007527514,0.014889549925124378,0.017977008780158277,0.00032317284468188785,0.03353714190510199,0.04872431272622149,0.0023740586506426293,0.03166158323858084,0.05087904409330998,0.0025886771278489816,0.04522920098855721,0.06950658496123863,0.004831165352973884,-0.21312728618519897,0.21874059491952572,0.04784744786574804,0.4427151863557214,0.13119476895538187,0.01721206740125603,8.421940255995025,5.851429108887734,34.2392226163387,5.150204776073384,5.172269648726214,26.752373319134392,-4.202850917439054,4.599066042193558,21.151408460457915,0.3407960199004975,0.4739768904920124,0.22465409272047715,0.7860696517412935,0.4100782295521369,0.1681641543526151,0.5211442786069652,0.4995527194222758,0.24955291948219102,0.28233830845771146,0.4501370769387361,0.20262338803494964,0.31965174129353235,0.46634161896783893,0.21747450558154507,0.33079422839552236,0.1953355701440507,0.03815598496350135,0.03181455852622852,0.07361106970952991,0.005418589583781272,0.5447118770149254,0.28922536115760294,0.08365130953674586,0.0734596768159204,0.05922364814787246,0.003507440499942997,0.08845536135572139,0.04860079924121892,0.0023620376868852657,0.2217670978731343,0.14488506169324308,0.020991681101854856,0.06529060308457711,0.05674994812661588,0.003220556612373593,0.055021173830845774,0.012222034201615547,0.0001493781200254602,0.042358399353233836,0.028037760879358792,0.0007861160351281023,0.0844143543159204,0.04485173892143828,0.002011678484276862,0.2486013778358209,0.22699158998046262,0.05152518192185846,0.3316716252985075,0.20963866437329498,0.04394836960021902,0.0340927447071238,0.08718283957074108,0.007600847515617576,0.5375242497761195,0.2912737036132029,0.08484037041655194,0.10255074648009951,0.10455677478054726,0.010932119152510082,0.0859351222636816,0.04345432033896941,0.0018882779561217708,0.22657623425373136,0.14884106851706566,0.022153663677301833,0.06247847722636816,0.051166748327812026,0.0026180361344416547,0.055291124203980094,0.012880542768331732,0.00016590838200682286,0.054526030671641794,0.04032935051926295,0.001626456513305575,0.10589811476368159,0.06821309097418947,0.004653025780253049,0.42822341531094527,0.30567491913081735,0.09343715618563171,6.454027498507463,3.5582756614403857,12.661325682799013,-5.048018804701493,3.6426453080068306,13.268864839944177,195.1703878109453,63.1681722949645,3990.21799108632
Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frustration,0.7927652858181817,0.17707392067143235,0.03135517338195271,0.026571997979272725,0.03403530412617475,0.0011584019269612075,0.0018087227615999999,0.0049831895205861895,2.483217779808002e-05,0.002524927754690909,0.004723459159480009,2.2311066431275598e-05,0.10588700453090909,0.1516276641845276,0.022990948546055875,0.016013232905454543,0.012022230848845648,0.00014453403458293594,0.0001774335515090909,0.0003664465673489001,1.3428308672179196e-07,0.009385506203218182,0.03950639965459332,0.0015607556136684514,0.5464376116363637,0.14137396442877312,0.019986597818308006,0.39531552622181826,2.012850982008713,4.05156907577344,5.492125489709091,2.4887355934544777,6.193804854127211,-1.3679017029818181,1.6332807575463082,2.667606032971042,0.4254545454545455,0.49441174663089427,0.24444297520661157,1.0,0.0,0.0,1.0,0.0,0.0,0.6618181818181819,0.9410807924143599,0.8856330578512397,0.6181818181818182,0.9242374565191879,0.8542148760330578,0.36594361345454546,0.30692949210379716,0.09420571312309489,0.08541820516313438,0.17614884868886826,0.03102841689441381,0.13380258701818182,0.03191428470144734,0.0010185215680050355,0.13481103523636365,0.10065926987922309,0.01013228861261827,0.06229899789090909,0.004683910048955089,2.193901334670246e-05,0.06326614767272727,0.011015985332793878,0.00012135193285232984,0.1716739409090909,0.12812412646296395,0.016415791781897577,0.05148730530909091,0.0017894677036752868,3.202194662496904e-06,0.029735737781818185,0.006781640354724149,4.599064590082308e-05,0.05371930414545455,0.0038329958096033232,1.4691856876436634e-05,0.05867748538181818,0.013129289989095877,0.0001723782556177732,0.35051972239999996,0.3143388995432195,0.09880894376604221,0.24006960229818183,0.2771290934870816,0.07680053445697162,0.08854521265454546,0.019383607655859333,0.00037572424575628855,0.15098709036363636,0.12320298327162357,0.015178975087027957,0.06454725345454546,0.006269618662849315,3.930811817754843e-05,0.06297049189090909,0.010805242080787742,0.00011675325642442623,0.20213532763636366,0.1641584604010055,0.026948000121228496,0.05264920690909091,0.00136557548747009,1.864796411979174e-06,0.03201261618181818,0.008187670792615686,6.703795300825197e-05,0.055876214581818184,0.0034320687586794313,1.1779095964303373e-05,0.05213142890909091,0.007009730177032409,4.913631715479881e-05,22.04464781818182,1.7192273133697866,2.9557425550366943,10.18735618909091,1.1627181880991615,1.351913584936597,234.48900727272726,14.635703147918228,214.20380663398353
Joy,0.8999581405063288,0.08800864944406808,0.007745522376968866,0.019455619016329112,0.021362308947174388,0.00045634824355452684,0.0007852807529113925,0.002090472561804504,4.370075531657485e-06,0.001068738261392405,0.0009896843770588572,9.794751661943784e-07,0.053725915582278475,0.07752818904655812,0.006010620096838853,0.010409788740506328,0.00926505205791544,8.584118963588315e-05,0.00024508019254430386,0.0007552499218723865,5.704024444882459e-07,0.008824075966455696,0.025923910362255977,0.0006720491284702828,0.5119670424050632,0.08658681481076716,0.0074972764990740865,1.1091840510126583,1.6572972160538777,2.7466340623399335,4.668401333101266,2.639266926015612,6.965729906759898,-1.1343732695189872,1.787168670260744,3.1939718559615566,0.43037974683544306,0.49512929659766947,0.24515302034930292,1.0,0.0,0.0,1.0,0.0,0.0,0.11392405063291139,0.4635400866734318,0.21486941195321263,0.11392405063291139,0.4635400866734318,0.21486941195321263,0.15722752658227848,0.14460217579939683,0.020909789245919668,0.018706962442586506,0.058943488475540366,0.0034743348336661603,0.12408213284810127,0.02663690629913162,0.0007095247771887178,0.07272788848101266,0.03256504236587476,0.001060481984291218,0.0631467991772152,0.006291104953658119,3.957800153794173e-05,0.0649809672151899,0.007138353593250831,5.095609202227705e-05,0.1601800281012658,0.10827548809230944,0.011723581321627843,0.05110671601265823,0.0007350348376045377,5.40276212492329e-07,0.03025719329113924,0.007496478310931836,5.619718706627143e-05,0.054737630063291146,0.0046656025657215725,2.1767847301267722e-05,0.055501877215189885,0.004553833576591374,2.0737400243290982e-05,0.15227138392405065,0.14522056762084087,0.021089013260119218,0.08356311338446583,0.12736628754636514,0.01622217120334337,0.086421557278481,0.018539372777757725,0.00034370834299266413,0.07185254639240506,0.043896236145406275,0.0019268795477332724,0.06561071151898734,0.008032074825625509,6.451422600444706e-05,0.06405900272151899,0.006572422867856349,4.3196742353921076e-05,0.2062590729113924,0.1462828583066418,0.021398674634361046,0.05197337993670886,0.000680996458034151,4.637561758550592e-07,0.032545652974683544,0.008154777513409905,6.650039629321583e-05,0.056212387594936714,0.004322060592334919,1.8680207763814468e-05,0.05077272841772152,0.0029376884269592877,8.630013293890533e-06,25.88840981012658,10.214743478124795,104.34098432389303,10.699194202531647,4.565630550841971,20.844982326781555,230.67951518987337,90.1760698433595,8131.723572394451
Pride,0.894976659490085,0.07708983083301789,0.005942842017863316,0.018300835245524078,0.029587904883330213,0.0008754441153849959,0.004315645105240793,0.015390602418193839,0.00023687064279491406,0.005721256228101984,0.014669397031456036,0.00021519120926649117,0.01950052044475921,0.04116667641637244,0.0016946952471703152,0.01330423925779037,0.008137861123294005,6.622478366201996e-05,0.00025547244461756376,0.0003282220318679555,1.0772970220352921e-07,0.0004953087845325775,0.03870633027590973,0.001498180003427806,0.4478485892351275,0.10140411629440955,0.010282794801450139,1.6699110689575072,1.9921692750330044,3.968738420385527,3.6793157434277615,2.578434784499497,6.648325937916969,-1.372959917405099,1.5809700227680692,2.499466212891269,0.32294617563739375,0.46760233455210143,0.2186519432785754,1.0,0.0,0.0,1.0,0.0,0.0,0.12464589235127478,0.42083008735886507,0.17709796242647,0.13031161473087818,0.4191103004851429,0.17565344397274676,0.1440428599716714,0.1265594360349555,0.016017290849485995,0.014528063401226183,0.036187149654996635,0.001309509800153123,0.17514134342776203,0.14326900854146055,0.020526008808453098,0.07209170359773372,0.030195465642804373,0.0009117661453857793,0.06535409291784704,0.007362280659326894,5.420317650669885e-05,0.06918277609065156,0.008780780422843491,7.710210483419152e-05,0.10819798354107647,0.08912547899961563,0.007943351006910928,0.05101114937677054,0.0010205304246622773,1.041482347661368e-06,0.03869534124645892,0.023172115594705233,0.0005369469411343814,0.058130720708215296,0.007871611389723785,6.196226587082923e-05,0.05912064906515581,0.008673909926361256,7.523671341062831e-05,0.12020813844192635,0.12182806404684475,0.014842077189402107,0.04270348683940227,0.11004553770012124,0.012110020367708803,0.13976485385269122,0.15171110433828422,0.02301625917954176,0.060390148215297444,0.027882006024584908,0.0007774062599549891,0.06725013943342777,0.009277817016756115,8.607788859640931e-05,0.06830886303116147,0.0086640842542145,7.506635596412764e-05,0.14586329651558072,0.1356886063060743,0.018411397881284826,0.051936016827195466,0.0008711927767646018,7.589768542868173e-07,0.039404474277620394,0.01821365950645756,0.00033173739261717187,0.05629008325779036,0.0067261605385614525,4.524123559050129e-05,0.05259275923512747,0.006054336407751535,3.665498933822576e-05,19.130036487252127,2.6627803250309245,7.090399059371796,10.407343943342775,1.4855559049729163,2.2068763467999006,233.89322662889518,27.818758009101032,773.8832971689228
Shame,0.8751286374570445,0.11432303039899121,0.013069755279608667,0.015392321036941582,0.02329629935136971,0.0005427175634686288,0.004745213846701031,0.011923145363686799,0.00014216139536360603,0.0022486945691408936,0.0038836269133183205,1.5082558001850384e-05,0.058265248721649475,0.09199944304285332,0.008463897520195211,0.014387775835051547,0.01974681305960355,0.00038993662601092925,0.00019248040098625427,0.0002936658058471525,8.623960552385746e-08,-0.002774573254810996,0.034946008826014584,0.0012212235328678894,0.5078800553264605,0.13731017495636047,0.018854084146546324,0.479353060580756,1.9560968253639774,3.8263147901990306,3.9273279457044676,2.4123682624440645,5.819520633647395,-1.2919531113986256,1.5939302673714963,2.54061369724297,0.40893470790378006,0.4916371757459256,0.24170711257543012,0.9965635738831615,0.058520228061602765,0.0034246170923819996,1.0,0.0,0.0,0.28865979381443296,0.7028478576931675,0.493995111063875,0.2611683848797251,0.6738900833954793,0.45412784449876603,0.28192104549828173,0.2074551058143047,0.043037620928424364,0.07125529044971787,0.11834822929689373,0.014006303377710135,0.12169926604810995,0.03317454509801842,0.0011005504424604579,0.11001441783505155,0.08260317530650327,0.006823284570716912,0.062931704604811,0.005610744635224678,3.148045536170251e-05,0.06893149109965635,0.016342512478037956,0.0002670777140948263,0.14673196261168386,0.10382447671467271,0.010779521965075615,0.05103339549828179,0.0009409943578994696,8.854703815986352e-07,0.03050228711340206,0.0054904019380867105,3.0144513441746308e-05,0.05861495670103093,0.009077537140238406,8.240168053240766e-05,0.06247144408934708,0.015841107770145618,0.00025094069538536784,0.25217067206185567,0.2123206647244148,0.04508006466901736,0.18359880079037802,0.20615207034101937,0.042498676105888596,0.09406494336769759,0.03311165266192735,0.0010963815420041206,0.08785467295532645,0.07340497952065303,0.00538829101842749,0.06651884993127148,0.007205273586078311,5.19159674502378e-05,0.0682235869072165,0.01636586978995281,0.00026784169398169004,0.18176070632302407,0.13446078153590396,0.01807970177124609,0.05227409371134021,0.0009362719991485713,8.766052563896624e-07,0.03184173072164948,0.00627251529933368,3.9344448180375084e-05,0.056443429553264604,0.006728694477154961,4.527532936689567e-05,0.053828590446735394,0.007456149173201758,5.5594160493037266e-05,15.241504158075603,1.4046883542253976,1.9731493724964562,9.720746120274914,0.9593182546594294,0.9202915137228139,231.82046838487972,13.93585043476111,194.20792734003138
Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
