label,mfccs_mean,mfccs_var,total-mfccs_var,chroma-stft_mean,mel-spectrogram_mean,tonnetz_mean,spectral-bandwidth_mean,spectral-rolloff_mean,rmse_mean,spectral-flatness_mean,pitch_mean,envelope_mean,zcr_mean,spectral-contrast_mean,temporal-centroid,harmonic-to-noise-ratio,spectral-centroid_mean,tempo,poly-features_mean,rms-energy_mean,crest-factor
Shame,"[-1.4129015392759159, -0.11044177803014353, 0.4839463019523666, -0.6434052743006183, 0.3156772144111503, -0.1136824453068102, 1.0146701476061897, 0.5993334547767777, 0.7592927245784662, 0.12988152645781847, -3.2841395828358135, 0.32870656569424245, 0.7901375923166577, 0.25817324292756166, 0.6015885237497453, -0.2203712351474147, 0.503534560425717]","[-0.31481037009127205, -0.9536088255740953, 1.7161346185131412, 0.7158417440818128, 0.8432452508051287, -0.23359764532982438, -0.5667203394413504, -0.07388077462515572, 0.13898917770407238, -0.01209819103708317, -2.7424502280845955, -0.8766047367442502, -0.0286788270800037, 1.53465428662432, -0.2940527838186782, 0.6999013967040466, 0.4477362473937891]","[-0.31481037009127216, -0.953608825574095, 1.7161346185131414, 0.7158417440818129, 0.8432452508051288, -0.23359764532982455, -0.5667203394413503, -0.07388077462515572, 0.13898917770407276, -0.01209819103708302, -2.7424502280845955, -0.8766047367442502, -0.028678827080003626, 1.534654286624321, -0.29405278381867783, 0.6999013967040469, 0.44773624739378914]","[2.3514888001204577, 0.12786142827494107, 0.6320265404458514, -0.8769124959797304, -0.8652430153335346, 0.2420564297514078, -0.9401001063751532, -0.6034152500254066, 1.6099071628475, 0.09006444058972349, 0.8525748011749928, 0.9064293210390733, -1.2917900515064702, -0.43279133921665613, -1.1373183611697262, 0.26408958065609767, -0.9289278852933764]","[-1.2981445901159698, -0.5432791178605902, 0.3335223520311811, -0.7321892353783751, -0.08384400375012123, -0.6585388414025405, -0.20651836248550057, -0.005378277461255127, 1.7708942109226637, -0.46409611240342674, -2.0945372950495975, -0.2775816269682313, 1.5234125185931264, 1.7912938957460598, 0.3573149262201358, -0.055083135073108885, 0.6427526944355534]","[0.8971813596723036, 1.937391556884941, -1.3261856444337001, -0.7259581861176, -1.4647135141348093, -0.01814246853369903, -1.5031615569934136, 0.12420046293885631, -0.19404920876408568, 0.6018280744829895, 1.2678389504801666, 0.6971738935126364, 0.6166163568136046, -1.4354060166945737, 0.05559697767123277, 0.8213215745342564, -0.3515326113191039]","[1.3435357663949539, -0.8997771346921115, 0.9205867968474366, 0.9224782274124494, -0.4207786553486787, -0.9026839657742334, 2.135565627445211, 0.4550349455134976, -0.7449519329496458, -1.2014139944478155, -0.38842193403796876, -0.9565286793232962, -1.2100834120182402, 1.1532782519887768, 0.29140124635070586, -0.904447120517068, 0.4072059671560341]","[1.4610150624701088, -1.021661254970589, 0.7993719960267484, 1.3396818130731911, -0.5039628717338026, -0.7036233101445646, 0.9242521370016518, -0.5825856350458132, -0.7653983384611435, -1.7447837754323623, -0.5249486469035498, 0.23896312670505498, -0.03429531194890279, 1.2680050457680696, 1.2895819695341475, -1.4860084773885105, 0.04639647145026487]","[-1.4226056337356567, -0.7785910367965698, 1.3477935791015625, -0.318716824054718, 0.5758568048477173, -0.6796859502792358, 0.18873246014118195, 0.09242139011621475, 0.9285878539085388, -0.32492825388908386, -2.55212140083313, -0.44563278555870056, 0.6918609142303467, 1.4096077680587769, -0.06992708891630173, 0.15781067311763763, 1.1995373964309692]","[-1.3705540238681568, 1.5052608353889234, -0.6368243212944283, -0.7778213748832368, -0.4920611663890229, 1.3588632506687273, -0.7146659208042143, 0.8347194990337954, 0.42313800155315695, 0.5945540267490944, -1.4900246591773876, -1.292545992197484, 1.2557764735889103, -0.03357068770691031, -0.36231524970308876, 1.5206191917420744, -0.3225478827007564]","[1.883912170769215, -0.7027860996324666, 0.26547059796310135, 0.6343162281126162, -0.3920008451645988, -0.7109104073599062, 0.1027147030036232, -0.854984297288276, -0.6986493034490876, -1.506910033778826, 0.14283468779105948, 1.7528514418865524, 0.42499323658977356, 0.28630170542452676, 1.5150427869049936, -1.5065887692938429, -0.6356078024784674]","[-0.566371548462161, -1.3936208610151657, 1.029388330187986, 0.6428970834376914, 0.7900961777775447, -0.499065144384745, 1.71015184992562, 0.26619288326494206, -0.08023273574638166, -0.5993210634148394, -2.0629232748327535, -0.50974476685773, -0.739138547765491, 0.7802506856553121, -0.7101872374184075, 0.27449046211995876, 1.6671377075286222]","[1.7563267091482515, -0.7765100750569663, 0.7149726011645915, 1.2767032937589928, -0.3524220025022538, -0.5494971824175079, 0.11497832307653144, -1.0646384167487972, -0.6913027388419218, -1.6143231657618613, 0.44013022665805934, 1.0586362856909675, -0.11708323709334104, 0.3826462753030031, 1.3335672333120683, -1.8026296073348187, -0.10955452235500486]","[-0.030181685744941657, 0.31060060048599225, 0.37672476534541127, 0.9010804375169114, 0.13063356559143746, -3.082925085306132, 0.4328438091503365, -0.26747729454877867, -1.4203562845794622, 0.1296663913941747, 0.4173035933813521, 1.0455616460350738, -0.6827795107939657, 0.29604499406905943, 1.3895320293266886, -0.4094379739645131, 0.46316600264140606]","[0.09469843981267069, 0.5524641513686925, -0.13540897570071078, 0.14802603613048665, -0.4266860335788978, 0.2572685392993337, -0.6113597963755317, -1.0406541393990154, -0.01640303928223314, 0.19885612723279092, 2.520957199862804, 2.0493929616108133, 0.10459312674692944, -0.7766789436408913, -0.3381464218444817, -0.9119996603668149, -1.6689195718759324]","[1.1473717849492762, 0.08495602029748593, 0.3459281864194616, 0.06664182058012794, 0.9040315161750265, 0.10276719050121273, -3.8068148111301103, 0.09621608532266708, 0.09851598660818608, 0.08484177387863291, 0.33150440688812666, 0.1657885540047676, 0.08509904220502931, 0.20236565327157321, 0.08528361668948733, 0.08495777662025351, -0.07945460328120439]","[1.5029764691363645, -0.7070437551385391, 0.6971706733794578, 1.3506843450132044, -0.5017277967626617, -0.560200854638844, 0.2635879912828185, -0.8814569904062642, -0.867219424272969, -1.7493433468851165, -0.45596449608244993, 0.7838726773420548, 0.41144262078454547, 0.9806984265828096, 1.4972164622843602, -1.5731217696471342, -0.1915712319716077]","[0.31406468358684886, 0.9921049472569858, 0.059799584710547235, 1.4582576285302051, -0.49958363281731594, -0.8725057778358913, -0.6394294371992817, 0.9921049472569858, -0.3397598563807836, 2.057596790167201, -2.312268489616468, -0.49958363281731594, 0.059799584710547235, 0.31406468358684886, -0.3397598563807836, 0.31406468358684886, -1.058966850345179]","[-1.1785054299688997, -0.8352023029772531, 1.6020290360025125, -0.5273346759241937, 0.639190622528742, -0.6150930051281636, 0.046468454635202834, 0.11206094669540621, 0.9272553754572327, -0.2390891533194169, -2.430190858765893, -0.7104939149320754, 0.6896578955615624, 1.690898112384099, 0.05352817796244413, -0.001153338371326326, 0.7759740581600225]","[-1.4226056337356567, -0.7785910367965698, 1.3477935791015625, -0.318716824054718, 0.5758568048477173, -0.6796859502792358, 0.18873246014118195, 0.09242139011621475, 0.9285878539085388, -0.32492825388908386, -2.55212140083313, -0.44563278555870056, 0.6918609142303467, 1.4096077680587769, -0.06992708891630173, 0.15781067311763763, 1.1995373964309692]","[0.5923159100927937, 0.25650332928778374, -0.7834413482429712, -0.07548146582457055, -1.33128324078924, 0.1202615973791138, 1.560107285943075, 0.21310783194976604, -0.6176187502679759, 0.10029177368221588, 2.6478697928737907, 1.105928270368769, -0.8497645522493316, -0.7730455526787464, -0.5127924645950958, -0.5783177087730071, -1.0746407081563791]"
Frustration,"[-3.2272812248391167, 0.027672776674094703, -0.11143453419739502, 0.4831777962629396, 0.31419692059407917, 0.4522490164225801, 0.8241889179257859, 0.9544283595359578, 0.7228297420409197, -1.3238843124564863, 0.6619261127957037, -1.34153879669945, 0.20610058232918685, 1.0873347380297282, 0.39484426986737914, 0.48550051045304143, 0.468994006913474, 1.3044404736792339, 0.40356720589508277, -0.48645515923982885, -0.47101486042684504, -1.1363795889394253, -0.6934629526207114]","[-1.0627042473581465, -0.2084578567408938, -0.015743470012336044, 0.2577526195243784, -0.5062177752927295, -0.5574707847918828, -0.35726825171065746, -0.5764458904074327, -0.8631179810207785, 1.6878860907661415, 0.13543844236665348, 0.3661537659669992, 1.614132659994806, -2.975486377672176, -0.039006378810350024, 0.8881748545388758, 0.055061353608541544, -0.6846303984024914, -0.6245029101084955, 1.1781121976790492, 0.9972180686014965, 1.220126795364303, 0.07099547391708998]","[-1.0627042473581445, -0.20845785674089234, -0.015743470012333838, 0.2577526195243805, -0.5062177752927275, -0.5574707847918803, -0.35726825171065496, -0.576445890407431, -0.8631179810207764, 1.6878860907661442, 0.13543844236665603, 0.36615376596700194, 1.6141326599948083, -2.9754863776721745, -0.039006378810347714, 0.8881748545388775, 0.05506135360854366, -0.6846303984024894, -0.6245029101084931, 1.1781121976790505, 0.9972180686014988, 1.2201267953643051, 0.07099547391709178]","[2.6068985777796514, -1.8640880442382348, -0.5265560757062123, -0.8545115632981776, 0.2205236035811467, 0.48872070546699614, -0.20038597133076966, -0.34713028190531653, -1.219715746346267, -0.2596992700021914, 0.7635291820604819, -0.6309324386468261, 1.3983015936235867, -0.2761483343614706, 0.3665788682571099, -0.8969464635836102, 0.7104293980460201, -0.09628476005305704, -1.0797815352315832, 1.6431507005320891, 0.7336126504692168, 0.2161519094383541, -0.8957167045508901]","[-2.2056014506265966, -0.23968164775513356, -0.35130396845490136, 0.5507342707658649, 0.10748383119349639, 0.2538732724851753, 0.894414273866452, 1.6553335195066599, 0.6604247725534552, -0.912649752082724, 0.9416562260892198, -1.521920833053789, 0.8023898030717397, 0.2957896903087657, 0.732835801192526, 0.21129791035976495, -0.2560513052015915, 2.25220655856733, -0.822522187371977, -0.48421461798623644, -0.9310522826712023, -0.8118146052474003, -0.8216272795088979]","[2.459537145326274, 1.3578953924603934, 1.06667242652773, -0.6124257934391036, -0.8796105668490279, 0.1577309993685918, -0.05877020978631739, -0.7951499033505434, 0.01024443564708998, -0.006423738767058333, 0.3156390468181139, -0.8175116627403058, 0.4209625665558677, 1.5887267965761296, 0.44940979433134415, 0.7170124787882572, -0.49512970933141703, -1.9456273310907222, -0.770476680389969, 0.3709818195735687, -0.4782993713325185, -1.6877059529158691, -0.36768198198050356]","[-2.6173948457427887, -0.41572502885260926, 0.6006905886703822, 1.694591544467099, 0.3633446524417062, 1.3886640183246142, -0.6677508031697607, 0.5751408673008329, 0.6498274710703892, 0.20929966086504587, 0.707171539126401, 0.36440087467270216, -0.4115391622238105, -1.2635505228109258, -0.33689994452121, -0.925027186680788, -1.6558584098274431, -0.18131186823429926, -0.572519498694941, -0.23360024398013712, 1.0678693769170822, 1.2757742329743802, 0.38440268790806514]","[-1.144933470903313, 1.5290044963528397, 3.1156052788807824, 0.8028279340815238, -0.6140011948096098, 0.7069957597658555, 0.6925383196751298, -0.2660588032928074, 0.6437960930835395, -0.5996814446245103, -0.42261222598952436, -0.14750779454885507, -0.3841967423198822, -0.9313764272774486, -0.7622932231687696, -0.5403370952997205, -1.2296127628632794, -0.872858217386416, 0.5061061874575792, -1.2462732414440212, 0.7293015244772607, 0.2144789673417943, 0.2210880828118403]","[-3.3007075786590576, -0.559179961681366, -0.595946729183197, 0.7957524061203003, 0.06095939502120018, 0.26368841528892517, 0.12483510375022888, 1.5695666074752808, 0.6742957830429077, -0.3079211115837097, 0.8048037886619568, -1.186368703842163, 1.280014991760254, -0.5446925759315491, 0.31565314531326294, 0.806359589099884, -0.1358211636543274, 1.5181468725204468, -0.48176249861717224, -0.00998506136238575, -0.41823503375053406, -0.28599876165390015, -0.3874566853046417]","[-2.308118648655799, -0.19496934274713373, -0.8704672000084291, 0.39516856423117125, 0.5269061152292365, -0.465655805589083, 1.4931094996442693, 0.2622030696152266, -0.48423416832470895, 0.9752860178481925, 0.2095790326336294, -0.12983714067213423, 0.42663253430886394, 1.7775718327756242, 1.1303845900275942, -0.7786842308024593, 1.2735421807208063, 0.1610058597994494, -1.3354203564696665, -0.47823513216815716, 0.8215657479993204, -1.5377957959769684, -0.8695372234188484]","[0.4205388455841747, 2.382309649794603, 3.0736244951879255, 0.008751562397902425, -0.47583031088867034, -0.5392094494140549, 1.1729902331839364, -1.094748115476477, -0.32634150813934937, -0.7197612151946299, -0.8677999909097774, -0.021262803368932947, -0.4110761966098763, -0.36037603552812714, -0.5858430202979029, -0.08870986174410687, -0.29722787743946216, -0.9880490742747418, 0.6886103694755187, -0.9696424841240979, -0.17523318982371594, 0.2545829387202888, -0.0802969611104035]","[-1.5231658219864932, -1.3050873443004631, -0.8986914155672003, -0.3180673055951112, 0.07333817784987678, 1.1362147938512792, -1.5749064720671757, 0.40397040601566686, 0.144535940878278, 1.059176589999804, 0.7882637558257903, 0.9362867014371713, 0.7296223351079321, -2.180419017878552, -0.329742116700865, 0.8152019501681754, -1.3755757710214134, -0.17441425066098326, 0.6742857841338414, 1.0584107923914514, 0.10880777458392679, 1.3138022511948328, 0.4381522623402062]","[0.2460443787918046, 2.2568908981245284, 3.05620060485467, -0.021581993194649294, -0.8051862993162217, -0.007780277508330015, 0.8137390866480748, -1.0498891320305697, -0.30094775553498493, -0.555882894706433, -0.7883704158363373, -0.2225000726972249, -0.043395049595442554, -0.5318488725630137, -1.0684500600225173, -0.2215482302360991, -0.697469460798852, -1.1975040337101173, 0.8086625935220721, -0.7076224470508574, 0.24834466473952535, 0.6155972143237819, 0.17449755379720425]","[-1.165625826899003, 0.08382156805688357, 2.0503064376458107, 0.42945244662252496, 0.4087364701634051, 0.4359667326705753, 0.5834620239489196, 1.2545354144605554, 0.683382074051396, -1.3889615439449663, -1.0292128905362907, 0.032663467680033094, -0.4569484242884684, -1.3015987584830566, -2.1136864421173236, -0.21174287191863272, -0.0394201643604233, -0.687659619448694, 0.4998044987857101, 0.18266531340146286, -0.8667736355911678, 1.5998274505723353, 1.0170062795285228]","[2.308571123086918, -0.509531188780516, 0.7156698707283465, 0.08049835611867386, -0.589490901762692, -0.5080461430412807, 2.2106475286623573, 0.4575090634725635, 0.22585065125962428, -0.3977126814884918, 0.367399143379168, -1.718890650588621, 0.32914623048591635, 0.6506972205012338, -0.5699190036106433, -0.6056075728622183, 1.3271684025949155, -1.0015342750157357, 0.13262868184088278, -0.3560591593611102, 0.1637661192214737, -1.5193110772719558, -1.1934497375688538]","[-0.5753503444220003, -0.007462138822169243, -0.07193913776153937, -0.07576862512653548, 3.7396293366637585, -0.09841448262018059, -0.021992502821940645, -0.5969673686304239, -0.09702491617920722, -0.06031102626146887, 0.10958921175127197, 0.0706247506895417, -0.061353779845876796, 0.30240814473763444, -0.0294445860456887, -0.06248130367838689, -0.22194751742165766, -0.1758098642070752, -0.08337195470409346, -1.3168400803563303, -1.267115599288694, 1.8121316335412498, -1.2107878491901871]","[-0.48696157264697193, 2.158263559186418, 3.1874025811759172, 0.4350257602853935, -0.72535111233619, 0.16501112565969117, 1.0352182493725497, -0.6477758618803103, 0.1919066695157505, -0.48321527644175016, -0.8572737698591056, -0.1984424425945152, -0.2705938120662275, -0.6147136121237895, -0.7308933511682891, -0.27569818327521833, -0.882280218934821, -1.087078610907806, 0.685806746420643, -1.0277268453152604, 0.29682749342914616, 0.17066864076566424, -0.03812615626094416]","[-1.7408781708925796, -0.9480963997773941, -0.06358781216954253, 0.9978224929598791, -1.062562216997234, 2.295101754784728, -0.8183684735949093, -0.6701079865292123, -0.29945676886496975, 0.9978224929598791, 0.5653960723515962, -0.06358781216954253, 0.5653960723515962, -1.6486272011628125, 0.9978224929598791, -0.4990381937611004, 0.9978224929598791, -0.4990381937611004, 0.21945493586496978, -0.06358781216954253, 0.9978224929598791, 0.9978224929598791, -1.2553467512622267]","[-3.054401291866143, -0.5101534098910698, -0.357645875299158, 0.7301981713562756, -0.09002560393657283, 0.38679552162924413, 0.3989647650175419, 1.0545918181972627, 0.24136319092386693, -0.4163594854908833, 0.9797188347080166, -1.270552044009617, 1.3224514972894954, -1.1654431528624365, 0.2762266636861906, 1.294319810010813, -0.14703002938042287, 1.594435958992695, -0.4582764860770338, 0.40758796344884524, -0.3440000244195635, -0.10731312297498855, -0.7654536690523538]","[-3.3007075786590576, -0.559179961681366, -0.595946729183197, 0.7957524061203003, 0.06095939502120018, 0.26368841528892517, 0.12483510375022888, 1.5695666074752808, 0.6742957830429077, -0.3079211115837097, 0.8048037886619568, -1.186368703842163, 1.280014991760254, -0.5446925759315491, 0.31565314531326294, 0.806359589099884, -0.1358211636543274, 1.5181468725204468, -0.48176249861717224, -0.00998506136238575, -0.41823503375053406, -0.28599876165390015, -0.3874566853046417]","[0.8486483223264866, -0.8019305777627496, 0.18028684848071636, -0.8643456394606526, 0.12327011563358903, 1.7606759799499483, -0.5353968233498034, -0.4997765373451275, 1.533957694472743, -0.9535914084564047, 0.6874370988146443, -0.04140957934969264, -0.5705588165685556, 1.3933913251527494, -0.2835746965841931, -0.46287849766841577, -0.8183227208502779, 1.1247138753700383, -0.9884639518680418, 1.8533161301860321, -0.07310296018539313, -0.5501577254692122, -2.0621874554684467]"
Pride,"[0.21360241271767874, 0.9126428776268516, -0.11401522014800142, 0.17685520581041153, 1.7127958967420234, -2.6261144977757134, 0.7507337036020161, 0.09266963090795705, -0.4595178133398493, -0.523997247432847, 0.3864958622359356, 0.3477121922985979, -1.0199492426263703, 1.7642279791564006, 0.4071657377323176, -1.066554857640297, -0.4184908353485826, -0.5362617845185573]","[-3.2394315245987237, 0.23945453854115134, -0.2452849934712057, 0.9859104294474164, -0.28888735004903937, 0.4948294297121618, 1.2940978280719624, -0.05949846924315897, 0.504607322186685, -0.7313598071357504, 1.313880790586585, -0.13326823392544399, 0.058487266725286605, -1.0941594392054066, 0.3723853017110144, 0.5048790982547365, 0.38718421647925294, -0.3638264040875172]","[-3.2394315245987233, 0.2394545385411515, -0.24528499347120541, 0.9859104294474169, -0.28888735004903954, 0.49482942971216204, 1.2940978280719628, -0.05949846924315897, 0.5046073221866851, -0.7313598071357499, 1.3138807905865857, -0.13326823392544315, 0.05848726672528719, -1.0941594392054061, 0.3723853017110148, 0.5048790982547372, 0.3871842164792538, -0.3638264040875174]","[2.2617763128285966, 0.037815301045373687, 0.11313102126671111, 1.1527424958467585, -0.4257988135197319, 0.39531217212425335, 0.14192935076752225, -0.4712774770735075, 1.5292175293914587, -1.143022002377853, 0.8717733654395833, -0.5180015497932274, -1.8509247232805657, -0.1166950546697425, 0.3881914475422921, -0.2831184784168618, -0.5681112198961322, -1.5149396772249426]","[-1.5348834217145852, 0.5170888467440149, -0.7907843967046403, 0.2616118094954141, 1.199064950154814, -1.824511335006688, 1.2600765061328112, 1.5188414231900065, -0.42189418758925956, -0.8441116981541131, 1.2342404084882181, -0.13614949545746627, -0.25332389830466306, 1.3016576453999287, 0.25159991958870886, -1.2675676537756715, -0.39340194746915214, -0.0775534750176829]","[1.7792373267609893, -1.3429000646842335, 0.19666878687626166, -0.0889162855180892, 1.9601183841313985, 0.0848280426190007, -0.7222107215251206, 0.21741935879765859, 1.0014940595834536, 0.27847907010315814, -1.4980530527624443, 1.0074038989290497, -0.6192047955181068, 0.18898884252975873, 0.5077425378526363, -1.0679739604300893, -1.5055145962215741, -0.37760683152370866]","[-0.964409422556887, 1.156770113528696, 0.352388585500407, 0.4755728536853523, 0.2150199625273673, -1.8538712000639899, 1.402328876021028, 0.17036177421982385, -2.14354620966622, -1.2833350431154982, -0.153391770248714, -0.3986040964524915, 0.4719634724962392, 0.6654142529023276, -0.4325425035753607, 1.2224272067504571, 0.034175021185297375, 1.0632781268621705]","[0.03704170466026307, 0.793848943689132, 0.9813437388252776, 1.0254493057913592, -0.038805107151699915, -2.179309170915624, 1.1509379482053135, 0.794402570052724, -1.9475242666922008, -1.2215355619032295, -0.9452760064713301, -0.6241727155885627, 0.914539490951966, 0.38471906099539854, -0.45181037439057137, 0.3767837497839282, 0.8606531915624436, 0.08871349859542191]","[-2.1369574069976807, 0.7429049611091614, -0.8447219133377075, 0.4030008316040039, 0.7143850326538086, -1.5678739547729492, 2.088219165802002, 0.3133377730846405, -0.3039840757846832, -0.7691395878791809, 1.687173843383789, 0.007032863795757294, -0.2942308187484741, 0.6591156721115112, 0.20935633778572083, -0.6033973097801208, 0.03807276859879494, -0.3422940969467163]","[-0.9310024400466526, -1.0645954409053038, 0.09668307666454727, -1.3149658068922654, -0.653255488214438, 1.4444229527591816, -0.4597706243681038, 1.217362231396932, 1.199782103770119, 1.0070556314688626, -1.127422294644433, 0.3432885798052438, -1.2609506651228868, -0.7116973366711771, 0.9069277108016152, 1.4863637982122246, -0.8199258017680452, 0.6416998137545741]","[1.3030842622211953, 0.14824859630898354, 1.6160861726853912, 1.149433354752574, 0.6826688119885672, -1.8367529383640144, 0.14195353797748894, 0.08286241672216979, -1.0016976061695069, -0.49660487845937823, -1.6881598459731109, -0.5406219617708639, 1.1333945413799247, -0.024651699522505333, -0.1301590180881907, -1.1115575833034386, 1.1188896713026284, -0.5464158336879169]","[-2.8416120484753877, 0.9186272542540705, -0.3406225634288418, 0.01086259670230871, 0.2286003705325038, 0.45654963660813663, 2.27591281862848, -0.35940170244105796, -0.5286256601467012, -1.4720914887969254, 0.24790600049398748, 0.10616370448612865, 0.2157241241922823, 0.6097996023151178, 0.07703346133431813, 0.1462065133088256, 0.5715054336928725, -0.32253805326011303]","[1.0585887598562789, 0.5204977407139574, 1.253910055060964, 1.1670208024147626, 0.2800562688596593, -2.2415272903728956, 0.8850496188962332, 0.4683163162597637, -1.2196809555336738, -0.8453151397246926, -0.9342389891959437, -0.714143485592134, 1.3248815796053144, -0.21710344944932772, -0.9559014612744053, -0.33307546847711, 0.9690664995541309, -0.4664014016008962]","[0.5347479697248431, 0.6670307022753262, -0.2568378051403967, 1.111124708702824, -0.31755329891956297, -0.17602276172789702, 0.5337981666150202, -1.9704968450622984, -2.2004915106826957, -0.3810055739956438, 0.2621096588872625, 0.1390170125770038, 0.963950493102242, 1.6811570568905578, -1.0460558173137493, -0.6332820760875881, 1.156798232891631, -0.067988312736917]","[-1.044990267889861, -0.8860360451202834, 1.6402314230169779, 0.5406090103732428, 0.2623456445193513, 1.2626605650840095, 0.06742398684977632, -0.5579893178907719, -0.7140118193266867, 0.6261468581633118, 1.0712900414679225, -1.2508269809798294, 0.389333389151717, -0.8040454341361065, 0.8686199007619462, 0.034080843658800763, 0.8066130926742848, -2.3114548903778944]","[-0.45908336305432446, -0.29650771263831804, -0.33647318931494474, -0.19542820091572008, -0.2212603509266187, -0.2198998689083155, 4.108448495137972, -0.2185125453858434, -0.2292351786324997, -0.1236078857834537, -0.06243714113023367, -0.31442475455442165, -0.2683420250414909, -0.22187350514681192, -0.2281661362183277, -0.19212594530376093, -0.19361525743912586, -0.3274554347437616]","[0.35218795306201106, 0.6351175231372653, 1.3317975077043414, 1.262224076768546, 0.02478580312612205, -2.250992006664126, 0.6754887186292302, 0.8237992396175786, -1.5882561817597693, -0.8654733990001596, -1.0726350465818617, -0.632779015090008, 1.1699944372667535, 0.098919890293692, -0.539960941003658, -0.346815501732093, 1.1187651944057586, -0.19616825217959602]","[-0.879640833537761, -0.38498158656176795, 2.0677038463608644, 0.54937476883733, -0.209789769924437, -0.5351460008223372, 0.24570895333262324, 0.24570895333262324, -0.209789769924437, 2.0677038463608644, -1.1858584626181374, 0.24570895333262324, -0.209789769924437, 0.9289570382182136, 0.9289570382182136, -1.2990258472782767, -1.1207872164385575, -1.2450141409632103]","[-2.18620138927322, 0.8503110382101341, -0.7442103502801837, 0.730119386255606, 0.9647373075229668, -1.458495328870242, 2.0753536013665657, 0.37057737469963636, -0.10349725544808167, -1.0098570516442649, 1.3663993015795488, -0.08230113838512479, -0.2480196162815028, 0.2477745545630503, 0.4469883787814736, -0.7579313192796132, -0.22342065149386717, -0.23832684202287657]","[-2.1369574069976807, 0.7429049611091614, -0.8447219133377075, 0.4030008316040039, 0.7143850326538086, -1.5678739547729492, 2.088219165802002, 0.3133377730846405, -0.3039840757846832, -0.7691395878791809, 1.687173843383789, 0.007032863795757294, -0.2942308187484741, 0.6591156721115112, 0.20935633778572083, -0.6033973097801208, 0.03807276859879494, -0.3422940969467163]","[-0.8865664766740126, -0.4785187152215025, 2.568720004793174, -0.9051100744366264, -0.26225698309490697, -0.5007803586717251, -1.3599641404193359, 0.2559819182477502, 0.3440264002914234, -0.797869411270174, -1.0086974548189218, 1.7449350786672158, 0.1088045810972327, -0.04271447178022547, 0.4117395517784878, -0.8957828306430514, 1.049696999700073, 0.6543563824551235]"
