label,mfccs_mean,mfccs_var,total-mfccs_var,chroma-stft_mean,mel-spectrogram_mean,tonnetz_mean,spectral-bandwidth_mean,spectral-rolloff_mean,rmse_mean,spectral-flatness_mean,pitch_mean,envelope_mean,zcr_mean,spectral-contrast_mean,temporal-centroid,harmonic-to-noise-ratio,spectral-centroid_mean,tempo,poly-features_mean,rms-energy_mean,crest-factor
Shame,-45.65340184671322,2116.3826321422757,27512.974217849584,0.2902407453299857,0.24638564723466863,-0.0073905299409187135,554.3696149664885,1726.6157011082169,0.015016644,0.2118232558293066,932.0650656517417,1.3017753159401428,0.19025955662316124,23.408688341237912,255.87496325769354,0.4526879427493784,1203.1567099779152,117.45383522727273,0.15019539245491886,0.015016644,20.291854037945605
Neutral,-42.85308616282994,1150.376828958109,14954.898776455415,0.2882781779246362,0.06706027241326153,0.00137320137374872,568.4028853696792,1863.6605175938796,0.0062090964,0.08871751971345848,1118.0546521746494,0.8728138901087735,0.22121138088053122,22.694277460467838,270.5276996705122,0.19364120974946827,1320.4645896011568,143.5546875,0.06481982612368341,0.0062090964,42.912059318312075
Frustration,-46.47907896743941,2250.8684443839197,29261.289776990958,0.28852404772858775,0.167001290799888,-0.011652339982194788,610.3382060264792,1816.2414191516104,0.013636191,0.17433693700590722,895.1953364367452,1.6200883550698557,0.19150514105760846,23.955194883366566,253.53379094477435,-0.9014575282558548,1236.3070509930487,161.4990234375,0.14135848532848513,0.013636191,27.830920376418405
Pride,-45.02489076312165,2005.4856250375115,26071.31312548765,0.2874399149219172,0.20114147694807807,-0.01135564565211443,584.132205542753,1734.565575443097,0.014138835,0.18972892052896254,852.7505935254969,1.5429014398077043,0.1830400136902294,23.565985757453717,249.2266109645658,-0.16546303487664488,1174.679726409349,129.19921875,0.1445269864447846,0.014138835,24.96256113979333
Joy,-45.77172830234042,2288.605717799188,29751.87433138944,0.28827702568373464,0.23367917546554742,-0.006772968093491727,595.3028396584635,1754.0409828299908,0.016217126,0.204816754621143,829.1607610161105,1.6561387264894738,0.17765771835268104,22.70486038673976,255.1588767460512,-0.6746046934732592,1175.3315914527411,143.5546875,0.16906759894078535,0.016217126,22.838355504216864
Pride,-45.71537497525216,1857.6004781865781,24148.806216425517,0.275763109902589,0.09925185702291878,-0.005072064324259775,611.4921221471236,1973.3081605137186,0.011062389,0.04554807506071429,1171.927777690699,1.707888210165564,0.23842857623922414,25.25845821862139,228.8003528174384,1.5940550166392053,1402.8012689853165,184.5703125,0.11232203994424993,0.011062389,34.210597462512155
Neutral,-48.82926431525395,1053.8863067908585,13700.52198828116,0.2882486299413077,0.028843771653308158,0.0008559993694569277,678.9695183115653,2050.123258401419,0.0034428642,0.022076558365225627,1205.9038140290143,0.8026729872133823,0.24509585884488974,23.44509183835185,241.45363840514787,-0.7480575086860674,1401.8117991545862,143.5546875,0.03456776702323013,0.0034428642,41.906484517454345
Shame,-47.470073778728626,2253.1508296583165,29290.960785558116,0.2773571963650049,0.127356234957325,-0.004742655704305481,617.0353256099628,1961.5687168382278,0.013480393,0.0221294951636332,1135.4186741282122,1.830387625998442,0.23020313772394138,25.393248551468314,246.9688606005363,-1.9251053768419768,1382.4874865494985,107.666015625,0.13174882651703138,0.013480393,22.669212854095754
Frustration,-48.146377269832435,2176.4248752817894,28293.52337866326,0.28140653827384027,0.09705501981182449,-0.007382109154408269,608.8712927229465,1898.574002529154,0.012206067,0.03218321836241155,1073.6320089588935,1.9026334667251665,0.22290773793529664,25.491967784983245,257.24446597400254,-0.021005244716185124,1327.161031306431,143.5546875,0.11318716564115794,0.012206067,25.166739977788932
Joy,-48.629457694037676,2563.2252629945338,33321.92841892894,0.28572075632587624,0.1630884023070421,-0.013011371067069526,639.6588673867286,1876.4303201492357,0.015936488,0.010992401178664245,996.7946604228248,2.151275365833181,0.20743865494388544,25.35641580711795,254.68742770255759,2.007027889521151,1272.0183340402334,161.4990234375,0.15317710431844112,0.015936488,29.83283697542736
Shame,-46.52849891465926,1781.8002666671807,23163.40346667335,0.2712405208226511,0.09829658629463706,0.010960313587245817,577.5737701931256,1884.2953889266305,0.009823021,0.06866759210099947,1132.2495471824407,1.3369006724634886,0.23091428317250814,25.285266458971062,265.76936168177036,-0.7749449972431499,1371.7769571769645,58.72691761363637,0.09520146030886859,0.009823021,27.027197616364756
Neutral,-53.56912021824659,1222.1163634715012,15887.512725129516,0.288113871110762,0.013501310383709275,0.005531176604362568,688.0162073384936,2062.5148114477406,0.0024235533,0.02427977742150098,1209.8911066618036,0.9608454607050498,0.24931620014509784,24.918059144459615,267.2344837741176,0.3215421751959871,1411.987751563256,64.599609375,0.024120659856085587,0.0024235533,63.29605843543585
Frustration,-47.93639974900997,2129.7000158299734,27686.100205789655,0.2764074490662033,0.099081418912876,0.00968328911640803,530.869977120417,1834.6364436645058,0.010871329,0.09630782128902221,1158.101950739182,1.56986026025284,0.23028865805775608,24.971514925829073,269.12878451321194,0.06437015142705947,1365.8238052394756,80.74951171875,0.10672791547008038,0.010871329,22.29163008342476
Pride,-47.32434683584754,2078.986407890218,27026.82330257283,0.2798373373911073,0.09644401655463508,0.014027882391014632,560.4789902173817,1819.9991676771592,0.01108987,0.05999799669101775,1124.6659870974365,1.5811563452224298,0.223703709959604,25.75007492379604,273.822980546121,0.08564569122458258,1325.2197172636897,117.45383522727273,0.10860771197019262,0.01108987,22.87892837404115
