label,mfccs_mean,mfccs_var,total-mfccs_var,chroma-stft_mean,mel-spectrogram_mean,tonnetz_mean,spectral-bandwidth_mean,spectral-rolloff_mean,rmse_mean,spectral-flatness_mean,pitch_mean,envelope_mean,zcr_mean,spectral-contrast_mean,temporal-centroid,harmonic-to-noise-ratio,spectral-centroid_mean,tempo,poly-features_mean,rms-energy_mean,crest-factor
Shame,0.6346889425655929,1.0097788238970526,1.009778823897051,0.7789915618742179,1.9048419068891589,-1.8764222836985,-1.7686376258656709,-1.5019884237525725,1.3545215947910607,3.066519875372737,-1.2402127914412457,-0.08256379861146053,-1.7490721048636075,-1.3809684840183343,0.7958519021485585,0.09440257481218924,-1.3493972062732171,-0.48848030375235785,1.3789702583825973,1.3545215947910607,-1.0075850278965868
Neutral,2.119765414303674,-1.217133780412811,-1.2171337804128124,0.5301232818896408,-0.6542497649239817,-0.19501977951714453,-1.4294448794891523,-0.25895195313600056,-0.8215368003139445,0.42118780771090103,0.5925027444933398,-1.372953898030647,0.05112833974420479,-2.3623078925778693,1.328394276158128,0.03625054723250459,0.155682905516625,0.26744847855703413,-0.728918101401504,-0.8215368003139445,1.28924445441622
Frustration,0.19681200165494941,1.3198061026096526,1.3198061026096515,0.561301418774404,0.7719746502233635,-2.6940897609925334,-0.41584247783331374,-0.6890570113135535,1.0134566194783088,2.261002891267169,-1.6035219788064372,0.8749768320243682,-1.6766272100476083,-0.6302682619719475,0.710763804856592,-0.20958236205566416,-0.9240726746119751,0.7871495163947412,1.160790579245431,1.0134566194783088,-0.242076951347608
Pride,0.968003871250383,0.7541303152775262,0.7541303152775249,0.42382524030760077,1.2591776806533546,-2.6371662233278625,-1.0492575706970833,-1.4298807440278996,1.1376433874061684,2.591750335562895,-2.021766576294227,0.6427852519400963,-2.1689705990415216,-1.164899331724949,0.5542226792044507,-0.04436286060957305,-1.714761764480808,-0.14831235171313156,1.2390195961411823,1.1376433874061684,-0.5333268307756692
Joy,0.571937504844675,1.4068010352940548,1.406801035294053,0.5299771690934522,1.7235121529997774,-1.757937359929474,-0.7792564978456982,-1.2532331167565907,1.651121453541585,2.9159621279203782,-2.254217507221601,0.9834225792616661,-2.4820122594973832,-2.347770820301866,0.7698262916303327,-0.15865737198905827,-1.706398224746466,0.26744847855703413,1.8449174384067013,1.651121453541585,-0.7490162142191424
Pride,0.6018230640495148,0.4132138358660944,0.41321383586609334,-1.0568812938753445,-0.19485456689867903,-1.431603318609468,-0.3879516179835286,0.7355841596600766,0.37755388734179574,-0.5064498466027201,1.1233610358012642,1.1390939691920337,1.0525039769891875,1.1599391733315307,-0.188153877592629,0.3506220175001933,1.2120765511090652,1.4553365650432217,0.44389243303022324,0.37755388734179574,0.40570808142987486
Neutral,-1.0495492512388582,-1.4395713261319072,-1.4395713261319085,0.5263763757869792,-1.199624500195202,-0.2942497437822957,1.2430184029568028,1.4323195095766723,-1.5049827474717863,-1.0108126630746257,1.4581561757379777,-1.583949855266475,1.4402822549750876,-1.330963385707426,0.27172000234729055,-0.17514640501640077,1.199381484347726,0.26744847855703413,-1.4758292608536439,-1.5049827474717863,1.1871395521549863
Shame,-0.32873698781443544,1.325067636773,1.325067636772999,-0.8547391636398278,0.20621348933739966,-1.368403243367192,-0.2539689929600167,0.6291039803465402,0.9749639653881456,-1.0096751416657521,0.7636054034945422,1.5075933816252627,0.574101219556225,1.3450918201850663,0.47216648813495254,-0.4393756400233337,0.9514472563202606,-0.7719535971183801,0.9235319721215655,0.9749639653881456,-0.7661907632870893
Frustration,-0.6873974089137493,1.1481929282406154,1.1481929282406136,-0.3412522112047544,-0.2262048864886397,-1.8748066783110848,-0.4512986714236813,0.05772354181355634,0.6601195177406416,-0.793637796727604,0.1547681923023359,1.7249213556203626,0.1497907868687931,1.4806959617773214,0.8456254193407273,-0.011934297237132198,0.2415993952080066,0.26744847855703413,0.4652520381798681,0.6601195177406416,-0.5125947477127576
Joy,-0.943586872149408,2.0398756240486384,2.039875624048637,0.20582302461238178,0.7161351441593279,-2.9548323816094233,0.2928558773339619,-0.14312611815784215,1.5817851127482356,-1.2489922749573938,-0.6023763609747331,2.47287915692601,-0.7499122434681925,1.2944970930758597,0.7526918407145989,0.4433281080784552,-0.46589081970641166,0.7871495163947412,1.4525875238302322,1.5817851127482356,-0.03880465524134306
